dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[116, 236, 350, 387, 552, 681, 821, 969, 1253, 1385, 1394, 1408, 1435, 1539, 1684, 1821, 1964, 2124, 2372, 2403, 2547, 2684, 2845, 2964, 3061, 3221, 3430, 3438]","[115, 235, 349, 386, 551, 680, 820, 968, 1252, 1384, 1393, 1407, 1434, 1538, 1683, 1820, 1963, 2123, 2371, 2402, 2546, 2683, 2844, 2963, 3060, 3220, 3429, 3437]",0.067,0.082
EEGRat,[1000],"[144, 168, 196, 268, 279, 286, 306, 352, 368, 466, 584, 710, 720, 814, 866, 954, 1061, 1106, 1120, 1137, 1160, 1283, 1362, 1368, 1430, 1437, 1455, 1683, 1689, 1697]","[143, 167, 195, 267, 278, 285, 305, 351, 367, 465, 583, 709, 719, 813, 865, 953, 1060, 1105, 1119, 1136, 1159, 1282, 1361, 1367, 1429, 1436, 1454, 1682, 1688, 1696]",0.061,0.224
EEGRat2,[1000],"[160, 231, 252, 275, 288, 362, 368, 430, 437, 455, 683, 689, 697, 1186, 1250, 1292, 1298, 1306, 1316, 1617, 1706, 1713, 1752, 1760, 1777, 1797, 1816, 1831]","[159, 230, 251, 274, 287, 361, 367, 429, 436, 454, 682, 688, 696, 1185, 1249, 1291, 1297, 1305, 1315, 1616, 1705, 1712, 1751, 1759, 1776, 1796, 1815, 1830]",0.065,0.278
FaceFour,"[2800, 5600, 6650]","[829, 877, 1186, 1533, 1884, 2581, 2927, 2948, 2959, 3359, 3619, 3626, 3697, 4063, 4071, 4323, 4331, 4668, 4677, 5018, 5026, 5317, 5370, 5642, 5648, 5827, 6097, 6430, 7488, 7841, 8196]","[828, 876, 1185, 1532, 1883, 2580, 2926, 2947, 2958, 3358, 3618, 3625, 3696, 4062, 4070, 4322, 4330, 4667, 4676, 5017, 5025, 5316, 5369, 5641, 5647, 5826, 6096, 6429, 7487, 7840, 8195]",0.111,0.275
GrandMalSeizures2,[4550],[],[],0.667,0.508
GreatBarbet1,"[1900, 3700]","[84, 799, 1105, 1135, 1144, 1285, 1428, 1671, 1792, 1875, 1955, 1969, 2000, 2012, 2021, 2041, 2073, 2083, 2240, 2272, 2303, 2316, 2334, 2346, 2361, 2391, 2409, 2422, 2433, 2439, 2452, 2468, 2479, 2500, 2513, 2526, 2556, 2773, 2781, 2834, 2851, 2865, 2887, 2895, 2917, 2925, 2953, 2970, 2986, 2996, 3049, 3069, 3077, 3239, 3344, 3354, 3363, 3414, 3528, 3537, 3600]","[83, 798, 1104, 1134, 1143, 1284, 1427, 1670, 1791, 1874, 1954, 1968, 1999, 2011, 2020, 2040, 2072, 2082, 2239, 2271, 2302, 2315, 2333, 2345, 2360, 2390, 2408, 2421, 2432, 2438, 2451, 2467, 2478, 2499, 2512, 2525, 2555, 2772, 2780, 2833, 2850, 2864, 2886, 2894, 2916, 2924, 2952, 2969, 2985, 2995, 3048, 3068, 3076, 3238, 3343, 3353, 3362, 3413, 3527, 3536, 3599]",0.062,0.392
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]","[68, 200, 442, 995, 1120, 1238, 1358, 1476, 1713, 1830, 1945, 2048, 2067, 2303, 2410, 2427, 2533, 2539, 2673, 2879, 3022, 3129, 3359, 3481, 3600, 3712, 3833, 3947, 4201, 4302, 4402, 4412, 4534, 4660, 4773]","[67, 199, 441, 994, 1119, 1237, 1357, 1475, 1712, 1829, 1944, 2047, 2066, 2302, 2409, 2426, 2532, 2538, 2672, 2878, 3021, 3128, 3358, 3480, 3599, 3711, 3832, 3946, 4200, 4301, 4401, 4411, 4533, 4659, 4772]",0.103,0.217
InsectEPG1,[3802],[204],[203],0.5,0.657
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[1973, 2140, 2147, 2163, 2200, 2212, 2236, 2248, 2272, 2284, 2295, 2308, 2319, 2332, 2342, 2355, 2366, 2373, 2379, 2387, 2403, 2409, 2415, 2427, 2434, 2450, 2457, 2463, 2469, 2475, 2487, 2493, 2510, 2516, 2522, 2528, 2535, 2541, 2547, 2558, 2564, 2576, 2582, 2593, 2607, 2613, 2619, 2626, 2642, 2650, 2661, 2667, 2673, 2685, 2703, 2709, 2715, 2722, 2734, 2745, 2763, 2769, 2781, 2793, 2806, 2816, 2822, 2829, 2853, 2865, 2876, 2887, 2893, 2901, 2913, 2937, 2948, 2972]","[1972, 2139, 2146, 2162, 2199, 2211, 2235, 2247, 2271, 2283, 2294, 2307, 2318, 2331, 2341, 2354, 2365, 2372, 2378, 2386, 2402, 2408, 2414, 2426, 2433, 2449, 2456, 2462, 2468, 2474, 2486, 2492, 2509, 2515, 2521, 2527, 2534, 2540, 2546, 2557, 2563, 2575, 2581, 2592, 2606, 2612, 2618, 2625, 2641, 2649, 2660, 2666, 2672, 2684, 2702, 2708, 2714, 2721, 2733, 2744, 2762, 2768, 2780, 2792, 2805, 2815, 2821, 2828, 2852, 2864, 2875, 2886, 2892, 2900, 2912, 2936, 2947, 2971]",0.07,0.333
