dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[1, 1293, 2463]","[0, 1292, 2462]",0.4,0.374
EEGRat,[1000],"[1, 1253]","[0, 1252]",0.4,0.772
EEGRat2,[1000],"[1, 7]","[0, 6]",0.4,0.499
FaceFour,"[2800, 5600, 6650]","[1, 1037, 2440, 3140, 3792, 4191, 5246, 6581, 8398]","[0, 1036, 2439, 3139, 3791, 4190, 5245, 6580, 8397]",0.286,0.58
GrandMalSeizures2,[4550],"[1, 7200, 7782, 9278, 9917]","[0, 7199, 7781, 9277, 9916]",0.25,0.419
GreatBarbet1,"[1900, 3700]","[1, 1912]","[0, 1911]",0.667,0.722
Herring,[],[1],[0],0.667,1.0
InlineSkate,"[1058, 2704]","[1, 1057, 2235, 2241, 2705, 3058, 3528, 3764, 4234]","[0, 1056, 2234, 2240, 2704, 3057, 3527, 3763, 4233]",0.462,0.585
InsectEPG1,[3802],"[1, 9047, 9897, 15830, 16876]","[0, 9046, 9896, 15829, 16875]",0.25,0.443
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[1],[0],0.222,0.149
NogunGun,[3000],"[1, 1274, 1573, 1875, 2174, 2325, 2627, 3834, 4284, 4740, 5186, 6384, 6390, 6880]","[0, 1273, 1572, 1874, 2173, 2324, 2626, 3833, 4283, 4739, 5185, 6383, 6389, 6879]",0.118,0.335
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[1],[0],0.25,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[1, 1538, 1921, 2305, 2311, 3970, 4737, 5249, 6273]","[0, 1537, 1920, 2304, 2310, 3969, 4736, 5248, 6272]",0.133,0.66
