name,dataset,default,knn-fft,knn-naive
UTSA,Cane,0.00018,0.00046,0.00604
UTSA,DutchFactory,0.00026,0.00146,0.00912
UTSA,EEGRat,0.00019,0.00029,0.00269
UTSA,EEGRat2,0.0002,0.00022,0.00292
UTSA,Fetal2013,1.6248700000000005,4.79242,82.43795999999999
UTSA,GrandMalSeizures,1.6889399999999997,6.181469999999999,83.20428000000001
UTSA,GrandMalSeizures2,0.09616000000000001,0.27266,4.6535
UTSA,GreatBarbet1,0.00016,0.00036,0.00504
UTSA,GreatBarbet2,0.00016,0.0004,0.00589
UTSA,InsectEPG1,1.5661700000000003,4.13798,69.38246000000001
UTSA,InsectEPG2,0.0005,0.0014,0.02296
UTSA,InsectEPG3,0.00023,0.00159,0.00805
UTSA,InsectEPG4,2.30398,7.123340000000001,89.44885000000001
UTSA,NogunGun,0.00019,0.00059,0.00811
UTSA,PigInternalBleedingDatasetAirwayPressure,1.3042699999999996,3.2191199999999998,53.500319999999995
UTSA,PigInternalBleedingDatasetArtPressureFluidFilled,1.1660300000000001,16.1465,51.71005
UTSA,PigInternalBleedingDatasetCVP,1.13819,12.50263,52.833870000000005
UTSA,Powerdemand,0.00018,0.00074,0.00783
UTSA,PulsusParadoxusECG1,1.7338400000000003,24.700020000000002,73.78301
UTSA,PulsusParadoxusECG2,1.5870400000000005,4.980049999999999,71.59001
UTSA,PulsusParadoxusSP02,1.5513200000000003,5.007149999999999,74.23948999999999
UTSA,RoboticDogActivityX,0.52075,1.90592,26.36008
UTSA,RoboticDogActivityY,1.09159,15.371100000000002,45.69782
UTSA,RoboticDogActivityZ,0.18753000000000003,3.2101800000000003,10.21087
UTSA,SimpleSynthetic,0.0002,0.00206,0.00817
UTSA,SuddenCardiacDeath1,0.34519000000000005,0.9189700000000001,19.896569999999997
UTSA,SuddenCardiacDeath2,0.4922600000000001,6.55184,20.73981
UTSA,SuddenCardiacDeath3,0.4872500000000001,6.51824,20.03916
UTSA,TiltABP,6.887030000000001,20.30003,299.12342
UTSA,TiltECG,7.7244399999999995,19.59211,277.65148
UTSA,WalkJogRun1,0.00038,0.006500000000000001,0.021310000000000003
UTSA,WalkJogRun2,0.00036,0.00634,0.02049
TSSB,Adiac,0.00019,0.00023,0.00199
TSSB,ArrowHead,0.00026,0.00054,0.00222
TSSB,Beef,0.00019,0.00027,0.00201
TSSB,BeetleFly,0.00021,0.00031,0.00288
TSSB,BirdChicken,0.0002,0.0003,0.00288
TSSB,Car,0.00023,0.00096,0.00233
TSSB,CBF,0.00017,0.00024,0.00167
TSSB,ChlorineConcentration,0.00025,0.00066,0.00717
TSSB,CinCECGTorso,0.00023,0.00096,0.00771
TSSB,Coffee,0.00019,0.00027,0.00303
TSSB,Computers,0.3317799999999999,4.081300000000001,11.002289999999999
TSSB,CricketX,0.0002,0.00117,0.00358
TSSB,CricketY,0.0002,0.00038,0.00409
TSSB,CricketZ,0.0002,0.00045,0.00378
TSSB,DiatomSizeReduction,0.00019,0.00054,0.00205
TSSB,DistalPhalanxOutlineAgeGroup,0.00023,0.00028,0.00241
TSSB,DistalPhalanxTW,0.00021,0.00039,0.00279
TSSB,ECG200,0.00021,0.00031,0.00243
TSSB,ECGFiveDays,0.0002,0.00028,0.00151
TSSB,FaceAll,0.00016,0.00071,0.00789
TSSB,FaceFour,0.00018,0.0005,0.00835
TSSB,FacesUCR,0.00017,0.00175,0.00909
TSSB,FiftyWords,0.00019,0.00137,0.00608
TSSB,Fish,0.022150000000000003,0.14511000000000002,1.02647
TSSB,GunPoint,0.0002,0.00034,0.00268
TSSB,Haptics,0.0002,0.00057,0.00558
TSSB,InlineSkate,0.00024,0.0015,0.00617
TSSB,InsectWingbeatSound,0.00019,0.00025,0.00183
TSSB,ItalyPowerDemand,0.00021,0.00033,0.00218
TSSB,LargeKitchenAppliances,0.00025,0.00055,0.0076
TSSB,Lightning2,0.0002,0.0004,0.00203
TSSB,Lightning7,0.00018,0.00053,0.00725
TSSB,Mallat,0.00021,0.0003,0.00452
TSSB,Meat,0.00021,0.00034,0.00459
TSSB,MedicalImages,0.00023,0.00089,0.00708
TSSB,MoteStrain,0.0002,0.00029,0.00217
TSSB,NonInvasiveFetalECGThorax1,0.43929000000000007,3.7488099999999998,21.154290000000003
TSSB,NonInvasiveFetalECGThorax2,0.7622500000000001,2.5864000000000003,35.81408
TSSB,OliveOil,0.00019,0.00046,0.00673
TSSB,OSULeaf,0.0002,0.0003,0.00531
TSSB,Plane,0.00019,0.00028,0.00462
TSSB,ProximalPhalanxOutlineAgeGroup,0.00025,0.00028,0.0038
TSSB,ProximalPhalanxTW,0.00015,0.00027,0.00401
TSSB,ShapesAll,0.00017,0.00035,0.006
TSSB,SonyAIBORobotSurface1,0.00021,0.00032,0.00416
TSSB,SonyAIBORobotSurface2,0.0002,0.00069,0.004
TSSB,SwedishLeaf,0.00024,0.00029,0.00447
TSSB,Symbols,0.00019,0.00028,0.00247
TSSB,SyntheticControl,0.00016,0.0003,0.00392
TSSB,ToeSegmentation1,0.0002,0.00065,0.00391
TSSB,ToeSegmentation2,0.00026,0.00104,0.00378
TSSB,Trace,0.00028,0.00143,0.00636
TSSB,TwoLeadECG,0.00027,0.00032,0.00103
TSSB,UWaveGestureLibraryAll,0.00021,0.00048,0.00719
TSSB,UWaveGestureLibraryX,0.0002,0.00121,0.00343
TSSB,UWaveGestureLibraryY,0.00022,0.00079,0.00401
TSSB,UWaveGestureLibraryZ,0.00021,0.00118,0.00309
TSSB,WordSynonyms,0.00026,0.00084,0.00279
TSSB,Yoga,1.6176699999999995,19.48527,49.84673000000001
TSSB,Crop,1.9653700000000003,34.527370000000005,89.92514
TSSB,EOGHorizontalSignal,0.0002,0.0013,0.00569
TSSB,EOGVerticalSignal,0.00017,0.00199,0.00745
TSSB,FreezerRegularTrain,0.25058,4.080170000000001,11.09308
TSSB,Ham,0.00017,0.00135,0.00605
TSSB,MelbournePedestrian,0.00017,0.00033,0.00559
TSSB,MiddlePhalanxOutlineAgeGroup,0.06195000000000001,1.0053,2.69356
TSSB,MiddlePhalanxOutlineCorrect,0.00019,0.00132,0.00688
TSSB,ProximalPhalanxOutlineCorrect,0.00019,0.00033,0.00569
TSSB,Strawberry,0.00023,0.00165,0.00544
TSSB,Chinatown,0.00018,0.00021,0.00062
TSSB,DodgerLoopDay,0.00023,0.00031,0.00485
