name,dataset,default,scoring-clasp
UTSA,Cane,12714285.714285715,335427.13567839196
UTSA,DutchFactory,inf,inf
UTSA,EEGRat,10526315.789473685,873362.4454148472
UTSA,EEGRat2,8000000.0,1162790.6976744186
UTSA,Fetal2013,8931.628384715004,93.31425160570498
UTSA,GrandMalSeizures,10414.79497567508,57.55953564644055
UTSA,GrandMalSeizures2,70502.77064468172,505.92778805830017
UTSA,GreatBarbet1,19583333.333333332,1374269.0058479533
UTSA,GreatBarbet2,24736842.105263155,2136363.6363636362
UTSA,InsectEPG1,7159.94373457544,89.38738645709326
UTSA,InsectEPG2,3846538.4615384615,21347.762978142076
UTSA,InsectEPG3,inf,inf
UTSA,InsectEPG4,3832.5312334856853,17.659313359315632
UTSA,NogunGun,inf,inf
UTSA,PigInternalBleedingDatasetAirwayPressure,5271.384966360727,23.518716306902142
UTSA,PigInternalBleedingDatasetArtPressureFluidFilled,6503.38351416385,35.004412781629995
UTSA,PigInternalBleedingDatasetCVP,8640.728515038896,40.930608908756284
UTSA,Powerdemand,inf,inf
UTSA,PulsusParadoxusECG1,6202.036077365276,40.24304585536708
UTSA,PulsusParadoxusECG2,7449.309745198828,54.80463793436843
UTSA,PulsusParadoxusSP02,8090.9346989854575,78.93550908988271
UTSA,RoboticDogActivityX,27714.36677505947,316.2638675193347
UTSA,RoboticDogActivityY,8004.683330610466,44.26459816273159
UTSA,RoboticDogActivityZ,65667.72133006983,186.7777009159239
UTSA,SimpleSynthetic,inf,inf
UTSA,SuddenCardiacDeath1,135043.88926401082,2787.4499710802065
UTSA,SuddenCardiacDeath2,11857.875443398183,72.38851393757868
UTSA,SuddenCardiacDeath3,11469.064775702898,869.3422307925784
UTSA,TiltABP,3860.6833795650173,32.857434196971006
UTSA,TiltECG,2393.783344653934,11.851942945007403
UTSA,WalkJogRun1,12049397.590361446,250087.52188047013
UTSA,WalkJogRun2,22224444.444444444,231076.70979667283
TSSB,Adiac,inf,inf
TSSB,ArrowHead,inf,inf
TSSB,Beef,inf,inf
TSSB,BeetleFly,4338983.050847458,58460.83580726193
TSSB,BirdChicken,6095238.095238095,384384.3843843844
TSSB,Car,inf,inf
TSSB,CBF,inf,inf
TSSB,ChlorineConcentration,inf,inf
TSSB,CinCECGTorso,inf,inf
TSSB,Coffee,6249999.999999999,1136363.6363636362
TSSB,Computers,13768.036127326797,63.02366715167814
TSSB,CricketX,inf,inf
TSSB,CricketY,inf,inf
TSSB,CricketZ,inf,inf
TSSB,DiatomSizeReduction,inf,inf
TSSB,DistalPhalanxOutlineAgeGroup,2465517.2413793104,164556.96202531646
TSSB,DistalPhalanxTW,2744680.85106383,93073.59307359307
TSSB,ECG200,3333333.333333333,132743.36283185842
TSSB,ECGFiveDays,inf,inf
