dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[225, 517, 808, 1069, 1664, 1968, 2252, 2541, 3099]","[224, 516, 807, 1068, 1663, 1967, 2251, 2540, 3098]",0.182,0.172
EEGRat,[1000],"[104, 271, 371, 541, 852, 964]","[103, 270, 370, 540, 851, 963]",0.222,0.638
EEGRat2,[1000],"[106, 214, 369, 473, 577, 961, 1093, 1208]","[105, 213, 368, 472, 576, 960, 1092, 1207]",0.182,0.588
FaceFour,"[2800, 5600, 6650]","[132, 233, 355, 562, 666, 1056, 1974, 3163, 3277, 3886]","[131, 232, 354, 561, 665, 1055, 1973, 3162, 3276, 3885]",0.133,0.321
GrandMalSeizures2,[4550],"[106, 241, 349, 480, 581, 739, 1590, 2125, 2691, 2894, 3254, 3475, 3715]","[105, 240, 348, 479, 580, 738, 1589, 2124, 2690, 2893, 3253, 3474, 3714]",0.125,0.575
GreatBarbet1,"[1900, 3700]","[121, 221, 327, 454, 574, 2043, 2143, 2244, 2344, 2447, 2550, 2650, 2752]","[120, 220, 326, 453, 573, 2042, 2142, 2243, 2343, 2446, 2549, 2649, 2751]",0.118,0.501
Herring,[],"[129, 258, 388, 518, 647, 776, 906, 1104, 1234, 1351, 1486, 1996, 2765, 3537, 4303, 4944]","[128, 257, 387, 517, 646, 775, 905, 1103, 1233, 1350, 1485, 1995, 2764, 3536, 4302, 4943]",0.111,0.155
InlineSkate,"[1058, 2704]","[119, 239, 412, 1147, 1376, 1549, 1957, 4096]","[118, 238, 411, 1146, 1375, 1548, 1956, 4095]",0.167,0.422
InsectEPG1,[3802],"[103, 206, 309, 409, 512, 615, 716, 816, 918, 1018, 1118, 1220, 1321, 1421, 1522, 1622, 1722, 1824, 1924, 2024, 2124, 2225, 2325, 2425, 2525, 2628, 2729, 2829, 2929, 3033, 3135, 3249, 3349, 3449, 3549, 3649, 3764, 3864, 3964, 4069, 4169, 4274, 4380, 4480, 4588, 4688, 4795, 4897, 5018, 5123, 5223, 5331, 5444, 5549, 5659, 5759, 5863, 5964, 6072, 6182, 6283, 6394, 6505, 6615, 6743, 6848, 6948, 7055, 7183, 7291, 7391, 7495, 7611, 7722, 7839, 7940, 8044, 8159, 8259, 8367, 8477, 8585, 8686, 8786, 8893, 9010, 9121, 9221, 9324, 9426, 9526, 9638, 9746, 9853, 9967, 10068, 10172, 10272, 10379, 10487, 10594, 10694, 10794, 10912, 11014, 11114, 11225, 11325, 11430, 11530, 11654, 11768, 11871, 11985, 12089, 12189, 12310, 12414, 12514, 12614, 12714, 12817, 12917, 13017, 13118, 13227, 13333, 13434, 13534, 13634, 13740, 13841, 13948, 14055, 14159, 14259, 14363, 14472, 14573, 14681, 14784, 14884, 14985, 15088, 15189, 15307, 15427, 15527, 15653, 15762, 15884, 15994, 16124, 16258, 16358, 16476, 16576, 16676, 16785, 16887, 16997]","[102, 205, 308, 408, 511, 614, 715, 815, 917, 1017, 1117, 1219, 1320, 1420, 1521, 1621, 1721, 1823, 1923, 2023, 2123, 2224, 2324, 2424, 2524, 2627, 2728, 2828, 2928, 3032, 3134, 3248, 3348, 3448, 3548, 3648, 3763, 3863, 3963, 4068, 4168, 4273, 4379, 4479, 4587, 4687, 4794, 4896, 5017, 5122, 5222, 5330, 5443, 5548, 5658, 5758, 5862, 5963, 6071, 6181, 6282, 6393, 6504, 6614, 6742, 6847, 6947, 7054, 7182, 7290, 7390, 7494, 7610, 7721, 7838, 7939, 8043, 8158, 8258, 8366, 8476, 8584, 8685, 8785, 8892, 9009, 9120, 9220, 9323, 9425, 9525, 9637, 9745, 9852, 9966, 10067, 10171, 10271, 10378, 10486, 10593, 10693, 10793, 10911, 11013, 11113, 11224, 11324, 11429, 11529, 11653, 11767, 11870, 11984, 12088, 12188, 12309, 12413, 12513, 12613, 12713, 12816, 12916, 13016, 13117, 13226, 13332, 13433, 13533, 13633, 13739, 13840, 13947, 14054, 14158, 14258, 14362, 14471, 14572, 14680, 14783, 14883, 14984, 15087, 15188, 15306, 15426, 15526, 15652, 15761, 15883, 15993, 16123, 16257, 16357, 16475, 16575, 16675, 16784, 16886, 16996]",0.024,0.015
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[106, 214, 2192]","[105, 213, 2191]",0.182,0.288
