dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],"[1015, 1095, 963, 1184, 1234, 1304, 902, 1355]","[1999, 1999, 1999, 1999, 1999, 1999, 1999, 1999]",0.364,0.774
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]","[2743, 5573, 2993, 3269, 5831, 2492, 3519, 8099, 6140, 5320, 6581, 7059, 3911, 2171, 5050]","[8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399]",0.4,0.57
GrandMalSeizures2,[4550],"[9923, 9872, 9990, 10065, 10128, 10179, 10250]","[9999, 9999, 10049, 10124, 10187, 10238, 10309]",0.2,0.489
GreatBarbet1,"[1900, 3700]","[3694, 1881, 3433, 2531, 2131, 3944, 2781, 3176, 4194, 1588, 1269, 1018]","[4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699]",0.375,0.409
Herring,[],"[4932, 4880]","[4991, 4991]",0.5,0.978
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[3602, 3852, 4878, 4174, 4612, 5128, 5387, 6904, 7405, 5637, 3153, 6653, 5887, 7154, 7695, 2890, 6164, 7945, 8195, 8509, 2323, 8803, 2639, 2053, 9053, 1748, 9303, 1497, 9567, 1246, 9854, 807, 10207, 10600, 11030, 11417, 11694, 12019, 12383, 12636, 13049, 13360, 13615, 13919, 14200, 14561, 14963, 15246, 15621, 16066, 16408]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 10153, 10481, 10517, 10899, 11329, 11758, 11993, 12318, 12877, 12935, 13348, 13665, 13914, 14218, 14499, 14860, 15262, 15545, 15920, 16365, 16707]",0.074,0.082
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[2585, 2009, 2635, 2059, 2685, 2110, 2534, 2237, 2180, 2737, 2287, 2385, 2435, 2787, 1954, 2837, 4025, 2887, 4077, 3974, 2937, 4127, 2987, 4835, 4177, 3037, 1903, 3087, 4229, 3137, 3187, 3923, 4279, 3237, 1852, 3287, 3711, 4651, 1799, 4746, 4333, 3337, 3822, 4390, 3872, 3387, 4590, 3761, 3451, 3660, 3609, 3545, 4539, 4440, 1731, 1680]","[4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.156,0.197
NogunGun,[3000],"[2965, 4275, 5065, 1618, 750, 5815]","[7382, 7382, 7382, 7382, 7382, 7382]",0.444,0.395
