dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[176, 1938, 2222, 2515, 2797, 3094, 3363]","[175, 1937, 2221, 2514, 2796, 3093, 3362]",0.222,0.51
EEGRat,[1000],[],[],0.667,0.5
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]","[3183, 3892, 5252]","[3182, 3891, 5251]",0.25,0.613
GrandMalSeizures2,[4550],"[2, 10, 16, 23, 29, 35, 44, 51, 57, 66, 72, 82, 88, 97, 104, 110, 116, 123, 129, 142, 150, 156, 164, 176, 182, 189, 195, 201, 209, 219, 225, 235, 242, 248, 254, 260, 266, 272, 286, 292, 300, 306, 314, 320, 330, 339, 346, 352, 358, 364, 372, 378, 384, 391, 397, 412, 418, 424, 435, 443, 451, 457, 465, 472, 478, 484, 495, 502, 508, 518, 528, 534, 540, 546, 555, 561, 568, 574, 585, 593, 599, 608, 618, 624, 632, 640, 648, 654, 660, 666, 672, 678, 686, 694, 702, 708, 714, 721, 727, 738, 744, 750, 756, 762, 771, 777, 783, 793, 800, 806, 812, 818, 827, 835, 841, 847, 853, 861, 873, 879, 891, 900, 906, 915, 922, 928, 934, 941, 950, 956, 965, 971, 981, 987, 993, 1004, 1012, 1018, 1024, 1035, 1041, 1047, 1055, 1061, 1072, 1078, 1084, 1093, 1099, 1106, 1112, 1121, 1127, 1133, 1143, 1153, 1164, 1174, 1184, 1193, 1201, 1209, 1219, 1225, 1236, 1242, 1248, 1255, 1264, 1271, 1279, 1286, 1295, 1301, 1307, 1317, 1324, 1332, 1339, 1349, 1357, 1363, 1371, 1379, 1385, 1391, 1397, 1405, 1415, 1425, 1433, 1439, 1445, 1451, 1457, 1463, 1471, 1477, 1485, 1491, 1500, 1506, 1520, 1528, 1534, 1540, 1548, 1554, 1568, 1574, 1580, 1589, 1597, 1607, 1613, 1621, 1627, 1633, 1641, 1650, 1656, 1663, 1669, 1675, 1683, 1689, 1698, 1704, 1710, 1716, 1724, 1736, 1745, 1751, 1762, 1768, 1777, 1791, 1797, 1808, 1814, 1822, 1831, 1840, 1849, 1858, 1864, 1871, 1883, 1891, 1898, 1906, 1912, 1920, 1926, 1932, 1942, 1948, 1957, 1965, 1973, 1979, 1988, 1998, 2005, 2012, 2022, 2030, 2036, 2043, 2051, 2058, 2066, 2073, 2081, 2087, 2095, 2106, 2112, 2120, 2128, 2134, 2140, 2148, 2154, 2167, 2173, 2186, 2195, 2205, 2216, 2224, 2230, 2239, 2245, 2254, 2262, 2270, 2277, 2290, 2296, 2302, 2311, 2318, 2324, 2338, 2347, 2353, 2361, 2370, 2377, 2383, 2395, 2403, 2411, 2417, 2425, 2435, 2444, 2454, 2460, 2469, 2479, 2490, 2498, 2517, 2523, 2532, 2540, 2546, 2556, 2564, 2572, 2580, 2586, 2592, 2601, 2608, 2614, 2624, 2631, 2637, 2644, 2655, 2663, 2672, 2678, 2687, 2697, 2704, 2710, 2719, 2727, 2733, 2741, 2747, 2753, 2759, 2765, 2773, 2787, 2795, 2806, 2816, 2825, 2833, 2839, 2848, 2854, 2866, 2872, 2882, 2893, 2902, 2908, 2916, 2933, 2939, 2945, 2956, 2964, 2972, 2985, 2995, 3003, 3017, 3027, 3033, 3039, 3048, 3054, 3062, 3089, 3097, 3103, 3111, 3119, 3125, 3132, 3142, 3150, 3158, 3167, 3176, 3188, 3196, 3203, 3209, 3216, 3225, 3233, 3242, 3249, 3257, 3267, 3276, 3301, 3308, 3314, 3324, 3339, 3347, 3360, 3369, 3375, 3381, 3387, 3395, 3403, 3415, 3423, 3429, 3438, 3447, 3455, 3465, 3471, 3479, 3485, 3493, 3499, 3505, 3517, 3527, 3535, 3547, 3562, 3568, 3575, 3581, 3587, 3595, 3602, 3608, 3614, 3623, 3631, 3639, 3647, 3655, 3662, 3668, 3674, 3680, 3692, 3698, 3704, 3711, 3719, 3728, 3738, 3746, 3754, 3766, 3774, 3785, 3795, 3803, 3810, 3818, 3826, 3837, 3843, 3852, 3858, 3870, 3877, 3885, 3891, 3899, 3905, 3917, 3925, 3934, 3940, 3952, 3958, 3966, 3974, 3980, 3987, 3993, 4001, 4014, 4020, 4031, 4038, 4046, 4057, 4064, 4076, 4087, 4094, 4103, 4114, 4122, 4130, 4140, 4154, 4162, 4173, 4180, 4186, 4195, 4202, 4209, 4219, 4229, 4239, 4245, 4253, 4261, 4268, 4274, 4282, 4309, 4321, 4327, 4338, 4346, 4353, 4359, 4366, 4373, 4379, 4386, 4394, 4402, 4409, 4422, 4439, 4451, 4458, 4466, 4474, 4484, 4501, 4509, 4515, 4522, 4547, 4558, 4565, 4572, 4584, 4593, 4602, 4627, 4637, 4652, 4675, 4705, 4711, 4719, 4731, 4740, 4747, 4754, 4761, 4774, 4782, 4790, 4800, 4811, 4839, 4849, 4858, 4875, 4883, 4919, 4927, 4936, 4951, 4974, 4985, 5003, 5010, 5017, 5026, 5048, 5072, 5078, 5109, 5128, 5139, 5175, 5193, 5204, 5214, 5234, 5248, 5256, 5271, 5277, 5283, 5289, 5295, 5302, 5308, 5315, 5329, 5341, 5360, 5371, 5389, 5413, 5454, 5464, 5478, 5535, 5548, 5556, 5562, 5568, 5590, 5597, 5608, 5621, 5635, 5649, 5675, 5692, 5702, 5730, 5752, 5758, 5768, 5774, 5780, 5787, 5793, 5804, 5810, 5821, 5827, 5836, 5852, 5864, 5893, 5900, 5907, 5914, 5924, 5937, 5949, 5957, 5973, 5986, 6000, 6006, 6012, 6032, 6042, 6048, 6066, 6073, 6092, 6110, 6118, 6126, 6133, 6145, 6154, 6167, 6183, 6194, 6201, 6215, 6226, 6251, 6259, 6270, 6277, 6287, 6299, 6307, 6332, 6349, 6370, 6382, 6397, 6416, 6428, 6441, 6449, 6455, 6463, 6470, 6481, 6494, 6511, 6518, 6533, 6549, 6555, 6570, 6585, 6597, 6613, 6620, 6647, 6671, 6682, 6691, 6712, 6730, 6736, 6749, 6756, 6769, 6785, 6795, 6807, 6818, 6836, 6845, 6863, 6887, 6901, 6926, 6938, 6948, 6963, 6981, 7000, 7012, 7019, 7027, 7036, 7051, 7068, 7098, 7127, 7134, 7148, 7172, 7191, 7200, 7207, 7213, 7221, 7235, 7243, 7273, 7294, 7307, 7319, 7327, 7338, 7398, 7405, 7413, 7423, 7429, 7451, 7458, 7465, 7481, 7497, 7526, 7533, 7551, 7566, 7595, 7606, 7612, 7624, 7630, 7636, 7646, 7657, 7678, 7696, 7726, 7746, 7762, 7768, 7780, 7794, 7811, 7835, 7859, 7881, 7893, 7912, 7920, 7935, 7949, 7960, 7967, 7976, 7988, 8008, 8016, 8023, 8045, 8055, 8069, 8136, 8148, 8188, 8202, 8208, 8220, 8229, 8242, 8266, 8280, 8291, 8302, 8324, 8351, 8372, 8384, 8392, 8406, 8412, 8418, 8458, 8495, 8501, 8526, 8550, 8564, 8576, 8584, 8597, 8609, 8633, 8647, 8660, 8691, 8707, 8721, 8743, 8750, 8760, 8775, 8786, 8804, 8813, 8822, 8839, 8854, 8861, 8870, 8887, 8905, 8913, 8920, 8929, 8947, 8955, 8975, 8982, 8995, 9004, 9017, 9026, 9036, 9049, 9065, 9078, 9084, 9126, 9153, 9168, 9185, 9193, 9207, 9227, 9233, 9244, 9270, 9277, 9291, 9309, 9332, 9378, 9389, 9399, 9411, 9419, 9429, 9436, 9468, 9477, 9483, 9489, 9505, 9551, 9571, 9584, 9592, 9608, 9625, 9639, 9646, 9658, 9699, 9727, 9749, 9762, 9791, 9805, 9837, 9847, 9856, 9864, 9879, 9910, 9917, 9925, 9932, 9940, 9951, 9987, 10008, 10014, 10025, 10059, 10086, 10093, 10101, 10114, 10131, 10143, 10153, 10184, 10215, 10232, 10250, 10265, 10282, 10331, 10344, 10354, 10386, 10428]","[1, 9, 15, 22, 28, 34, 43, 50, 56, 65, 71, 81, 87, 96, 103, 109, 115, 122, 128, 141, 149, 155, 163, 175, 181, 188, 194, 200, 208, 218, 224, 234, 241, 247, 253, 259, 265, 271, 285, 291, 299, 305, 313, 319, 329, 338, 345, 351, 357, 363, 371, 377, 383, 390, 396, 411, 417, 423, 434, 442, 450, 456, 464, 471, 477, 483, 494, 501, 507, 517, 527, 533, 539, 545, 554, 560, 567, 573, 584, 592, 598, 607, 617, 623, 631, 639, 647, 653, 659, 665, 671, 677, 685, 693, 701, 707, 713, 720, 726, 737, 743, 749, 755, 761, 770, 776, 782, 792, 799, 805, 811, 817, 826, 834, 840, 846, 852, 860, 872, 878, 890, 899, 905, 914, 921, 927, 933, 940, 949, 955, 964, 970, 980, 986, 992, 1003, 1011, 1017, 1023, 1034, 1040, 1046, 1054, 1060, 1071, 1077, 1083, 1092, 1098, 1105, 1111, 1120, 1126, 1132, 1142, 1152, 1163, 1173, 1183, 1192, 1200, 1208, 1218, 1224, 1235, 1241, 1247, 1254, 1263, 1270, 1278, 1285, 1294, 1300, 1306, 1316, 1323, 1331, 1338, 1348, 1356, 1362, 1370, 1378, 1384, 1390, 1396, 1404, 1414, 1424, 1432, 1438, 1444, 1450, 1456, 1462, 1470, 1476, 1484, 1490, 1499, 1505, 1519, 1527, 1533, 1539, 1547, 1553, 1567, 1573, 1579, 1588, 1596, 1606, 1612, 1620, 1626, 1632, 1640, 1649, 1655, 1662, 1668, 1674, 1682, 1688, 1697, 1703, 1709, 1715, 1723, 1735, 1744, 1750, 1761, 1767, 1776, 1790, 1796, 1807, 1813, 1821, 1830, 1839, 1848, 1857, 1863, 1870, 1882, 1890, 1897, 1905, 1911, 1919, 1925, 1931, 1941, 1947, 1956, 1964, 1972, 1978, 1987, 1997, 2004, 2011, 2021, 2029, 2035, 2042, 2050, 2057, 2065, 2072, 2080, 2086, 2094, 2105, 2111, 2119, 2127, 2133, 2139, 2147, 2153, 2166, 2172, 2185, 2194, 2204, 2215, 2223, 2229, 2238, 2244, 2253, 2261, 2269, 2276, 2289, 2295, 2301, 2310, 2317, 2323, 2337, 2346, 2352, 2360, 2369, 2376, 2382, 2394, 2402, 2410, 2416, 2424, 2434, 2443, 2453, 2459, 2468, 2478, 2489, 2497, 2516, 2522, 2531, 2539, 2545, 2555, 2563, 2571, 2579, 2585, 2591, 2600, 2607, 2613, 2623, 2630, 2636, 2643, 2654, 2662, 2671, 2677, 2686, 2696, 2703, 2709, 2718, 2726, 2732, 2740, 2746, 2752, 2758, 2764, 2772, 2786, 2794, 2805, 2815, 2824, 2832, 2838, 2847, 2853, 2865, 2871, 2881, 2892, 2901, 2907, 2915, 2932, 2938, 2944, 2955, 2963, 2971, 2984, 2994, 3002, 3016, 3026, 3032, 3038, 3047, 3053, 3061, 3088, 3096, 3102, 3110, 3118, 3124, 3131, 3141, 3149, 3157, 3166, 3175, 3187, 3195, 3202, 3208, 3215, 3224, 3232, 3241, 3248, 3256, 3266, 3275, 3300, 3307, 3313, 3323, 3338, 3346, 3359, 3368, 3374, 3380, 3386, 3394, 3402, 3414, 3422, 3428, 3437, 3446, 3454, 3464, 3470, 3478, 3484, 3492, 3498, 3504, 3516, 3526, 3534, 3546, 3561, 3567, 3574, 3580, 3586, 3594, 3601, 3607, 3613, 3622, 3630, 3638, 3646, 3654, 3661, 3667, 3673, 3679, 3691, 3697, 3703, 3710, 3718, 3727, 3737, 3745, 3753, 3765, 3773, 3784, 3794, 3802, 3809, 3817, 3825, 3836, 3842, 3851, 3857, 3869, 3876, 3884, 3890, 3898, 3904, 3916, 3924, 3933, 3939, 3951, 3957, 3965, 3973, 3979, 3986, 3992, 4000, 4013, 4019, 4030, 4037, 4045, 4056, 4063, 4075, 4086, 4093, 4102, 4113, 4121, 4129, 4139, 4153, 4161, 4172, 4179, 4185, 4194, 4201, 4208, 4218, 4228, 4238, 4244, 4252, 4260, 4267, 4273, 4281, 4308, 4320, 4326, 4337, 4345, 4352, 4358, 4365, 4372, 4378, 4385, 4393, 4401, 4408, 4421, 4438, 4450, 4457, 4465, 4473, 4483, 4500, 4508, 4514, 4521, 4546, 4557, 4564, 4571, 4583, 4592, 4601, 4626, 4636, 4651, 4674, 4704, 4710, 4718, 4730, 4739, 4746, 4753, 4760, 4773, 4781, 4789, 4799, 4810, 4838, 4848, 4857, 4874, 4882, 4918, 4926, 4935, 4950, 4973, 4984, 5002, 5009, 5016, 5025, 5047, 5071, 5077, 5108, 5127, 5138, 5174, 5192, 5203, 5213, 5233, 5247, 5255, 5270, 5276, 5282, 5288, 5294, 5301, 5307, 5314, 5328, 5340, 5359, 5370, 5388, 5412, 5453, 5463, 5477, 5534, 5547, 5555, 5561, 5567, 5589, 5596, 5607, 5620, 5634, 5648, 5674, 5691, 5701, 5729, 5751, 5757, 5767, 5773, 5779, 5786, 5792, 5803, 5809, 5820, 5826, 5835, 5851, 5863, 5892, 5899, 5906, 5913, 5923, 5936, 5948, 5956, 5972, 5985, 5999, 6005, 6011, 6031, 6041, 6047, 6065, 6072, 6091, 6109, 6117, 6125, 6132, 6144, 6153, 6166, 6182, 6193, 6200, 6214, 6225, 6250, 6258, 6269, 6276, 6286, 6298, 6306, 6331, 6348, 6369, 6381, 6396, 6415, 6427, 6440, 6448, 6454, 6462, 6469, 6480, 6493, 6510, 6517, 6532, 6548, 6554, 6569, 6584, 6596, 6612, 6619, 6646, 6670, 6681, 6690, 6711, 6729, 6735, 6748, 6755, 6768, 6784, 6794, 6806, 6817, 6835, 6844, 6862, 6886, 6900, 6925, 6937, 6947, 6962, 6980, 6999, 7011, 7018, 7026, 7035, 7050, 7067, 7097, 7126, 7133, 7147, 7171, 7190, 7199, 7206, 7212, 7220, 7234, 7242, 7272, 7293, 7306, 7318, 7326, 7337, 7397, 7404, 7412, 7422, 7428, 7450, 7457, 7464, 7480, 7496, 7525, 7532, 7550, 7565, 7594, 7605, 7611, 7623, 7629, 7635, 7645, 7656, 7677, 7695, 7725, 7745, 7761, 7767, 7779, 7793, 7810, 7834, 7858, 7880, 7892, 7911, 7919, 7934, 7948, 7959, 7966, 7975, 7987, 8007, 8015, 8022, 8044, 8054, 8068, 8135, 8147, 8187, 8201, 8207, 8219, 8228, 8241, 8265, 8279, 8290, 8301, 8323, 8350, 8371, 8383, 8391, 8405, 8411, 8417, 8457, 8494, 8500, 8525, 8549, 8563, 8575, 8583, 8596, 8608, 8632, 8646, 8659, 8690, 8706, 8720, 8742, 8749, 8759, 8774, 8785, 8803, 8812, 8821, 8838, 8853, 8860, 8869, 8886, 8904, 8912, 8919, 8928, 8946, 8954, 8974, 8981, 8994, 9003, 9016, 9025, 9035, 9048, 9064, 9077, 9083, 9125, 9152, 9167, 9184, 9192, 9206, 9226, 9232, 9243, 9269, 9276, 9290, 9308, 9331, 9377, 9388, 9398, 9410, 9418, 9428, 9435, 9467, 9476, 9482, 9488, 9504, 9550, 9570, 9583, 9591, 9607, 9624, 9638, 9645, 9657, 9698, 9726, 9748, 9761, 9790, 9804, 9836, 9846, 9855, 9863, 9878, 9909, 9916, 9924, 9931, 9939, 9950, 9986, 10007, 10013, 10024, 10058, 10085, 10092, 10100, 10113, 10130, 10142, 10152, 10183, 10214, 10231, 10249, 10264, 10281, 10330, 10343, 10353, 10385, 10427]",0.004,0.009
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
