dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[1121],[1999],0.5,0.886
EEGRat2,[1000],"[256, 1185]","[1999, 1999]",0.4,0.721
FaceFour,"[2800, 5600, 6650]","[529, 2807, 3335, 6580]","[8399, 8399, 8399, 8399]",0.667,0.707
GrandMalSeizures2,[4550],"[2224, 3000, 3641, 4139, 4619]","[9999, 9999, 9999, 9999, 9999]",0.5,0.77
GreatBarbet1,"[1900, 3700]","[1886, 2444, 3690]","[4699, 4699, 4699]",0.857,0.877
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[3861, 4389, 4903, 7978, 9713]","[9999, 9999, 9999, 9999, 11244]",0.5,0.649
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[580, 1147, 2038, 2406, 2590, 3182, 3344, 4031]","[4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.875,0.91
NogunGun,[3000],"[3064, 4401]","[7382, 7382]",0.8,0.802
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1690, 4082, 4346, 8108, 8372, 10218]","[9999, 9999, 9999, 9999, 9999, 11369]",0.615,0.788
ShapesAll,"[1280, 2560, 3840, 5120]","[367, 1315, 2550, 3811, 5090]","[6399, 6399, 6399, 6399, 6399]",0.909,0.912
TiltECG,[25000],"[480, 24608, 29352]","[9999, 29539, 32594]",0.667,0.869
ToeSegmentation1,[1385],"[413, 694, 1112, 1433]","[2769, 2769, 2769, 2769]",0.286,0.634
ToeSegmentation2,[1543],[1333],[3085],0.5,0.872
Trace,"[1443, 2955]",[1413],[5085],0.8,0.643
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[590, 1140, 2227]","[2817, 2817, 2817]",0.667,0.783
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[605, 1135, 2220]","[2817, 2817, 2817]",0.889,0.792
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
