dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[1, 7, 13, 20, 106, 119, 258, 270, 285, 387, 400, 406, 412, 418, 543, 552, 561, 567, 679, 685, 692, 704, 725, 832, 852, 859, 971, 981, 987, 1051, 1057, 1254, 1260, 1277, 1295, 1436, 1446, 1540, 1546, 1576, 1582, 1683, 1822, 1831, 1871, 1963, 1973, 2011, 2124, 2135, 2142, 2207, 2213, 2303, 2411, 2417, 2479, 2555, 2586, 2687, 2699, 2711, 2733, 2847, 2867, 2972, 3003, 3022, 3060, 3071, 3077, 3272, 3278, 3295, 3303, 3441, 3447, 3453]","[0, 6, 12, 19, 105, 118, 257, 269, 284, 386, 399, 405, 411, 417, 542, 551, 560, 566, 678, 684, 691, 703, 724, 831, 851, 858, 970, 980, 986, 1050, 1056, 1253, 1259, 1276, 1294, 1435, 1445, 1539, 1545, 1575, 1581, 1682, 1821, 1830, 1870, 1962, 1972, 2010, 2123, 2134, 2141, 2206, 2212, 2302, 2410, 2416, 2478, 2554, 2585, 2686, 2698, 2710, 2732, 2846, 2866, 2971, 3002, 3021, 3059, 3070, 3076, 3271, 3277, 3294, 3302, 3440, 3446, 3452]",0.025,0.057
EEGRat,[1000],"[1, 10, 19, 25, 31, 54, 119, 144, 198, 204, 210, 272, 310, 353, 359, 374, 405, 466, 478, 484, 587, 622, 628, 709, 725, 766, 867, 873, 981, 987, 1061, 1160, 1230, 1252, 1288, 1328, 1368, 1450, 1472, 1513, 1554, 1576, 1619, 1650, 1684, 1705, 1728, 1768, 1789, 1851, 1872, 1915, 1960]","[0, 9, 18, 24, 30, 53, 118, 143, 197, 203, 209, 271, 309, 352, 358, 373, 404, 465, 477, 483, 586, 621, 627, 708, 724, 765, 866, 872, 980, 986, 1060, 1159, 1229, 1251, 1287, 1327, 1367, 1449, 1471, 1512, 1553, 1575, 1618, 1649, 1683, 1704, 1727, 1767, 1788, 1850, 1871, 1914, 1959]",0.071,0.104
EEGRat2,[1000],"[1, 7, 16, 33, 60, 105, 138, 160, 230, 252, 288, 328, 368, 450, 472, 513, 554, 576, 619, 650, 684, 705, 728, 768, 789, 851, 872, 915, 960, 1004, 1010, 1076, 1095, 1112, 1186, 1234, 1249, 1292, 1321, 1396, 1466, 1500, 1535, 1617, 1706, 1752, 1778, 1803, 1832, 1859, 1877, 1904, 1912, 1952]","[0, 6, 15, 32, 59, 104, 137, 159, 229, 251, 287, 327, 367, 449, 471, 512, 553, 575, 618, 649, 683, 704, 727, 767, 788, 850, 871, 914, 959, 1003, 1009, 1075, 1094, 1111, 1185, 1233, 1248, 1291, 1320, 1395, 1465, 1499, 1534, 1616, 1705, 1751, 1777, 1802, 1831, 1858, 1876, 1903, 1911, 1951]",0.07,0.086
FaceFour,"[2800, 5600, 6650]","[1, 55, 214, 228, 244, 262, 336, 588, 594, 600, 616, 755, 916, 947, 953, 969, 1010, 1054, 1266, 1279, 1298, 1315, 1395, 1401, 1615, 1621, 1630, 1649, 1664, 1670, 1707, 1750, 1968, 1974, 1984, 2022, 2064, 2316, 2322, 2333, 2349, 2369, 2452, 2664, 2679, 2693, 2699, 2713, 2757, 2852, 2930, 3024, 3030, 3041, 3075, 3121, 3160, 3166, 3212, 3376, 3389, 3406, 3422, 3485, 3501, 3553, 3620, 3628, 3724, 3737, 3756, 3773, 3795, 3863, 3869, 4077, 4093, 4127, 4167, 4201, 4252, 4333, 4417, 4431, 4447, 4481, 4524, 4602, 4669, 4776, 4790, 4827, 4850, 4952, 5019, 5029, 5124, 5137, 5173, 5209, 5236, 5242, 5249, 5378, 5473, 5488, 5507, 5522, 5548, 5650, 5667, 5824, 5830, 5847, 5853, 5859, 5909, 5953, 5995, 6102, 6175, 6181, 6198, 6217, 6233, 6287, 6475, 6502, 6508, 6529, 6542, 6558, 6584, 6649, 6703, 6867, 6880, 6904, 6919, 6961, 7002, 7051, 7218, 7234, 7261, 7272, 7316, 7352, 7399, 7560, 7574, 7614, 7620, 7684, 7704, 7753, 7922, 7928, 7946, 7959, 7965, 8009, 8100, 8265, 8279, 8304, 8318, 8399]","[0, 54, 213, 227, 243, 261, 335, 587, 593, 599, 615, 754, 915, 946, 952, 968, 1009, 1053, 1265, 1278, 1297, 1314, 1394, 1400, 1614, 1620, 1629, 1648, 1663, 1669, 1706, 1749, 1967, 1973, 1983, 2021, 2063, 2315, 2321, 2332, 2348, 2368, 2451, 2663, 2678, 2692, 2698, 2712, 2756, 2851, 2929, 3023, 3029, 3040, 3074, 3120, 3159, 3165, 3211, 3375, 3388, 3405, 3421, 3484, 3500, 3552, 3619, 3627, 3723, 3736, 3755, 3772, 3794, 3862, 3868, 4076, 4092, 4126, 4166, 4200, 4251, 4332, 4416, 4430, 4446, 4480, 4523, 4601, 4668, 4775, 4789, 4826, 4849, 4951, 5018, 5028, 5123, 5136, 5172, 5208, 5235, 5241, 5248, 5377, 5472, 5487, 5506, 5521, 5547, 5649, 5666, 5823, 5829, 5846, 5852, 5858, 5908, 5952, 5994, 6101, 6174, 6180, 6197, 6216, 6232, 6286, 6474, 6501, 6507, 6528, 6541, 6557, 6583, 6648, 6702, 6866, 6879, 6903, 6918, 6960, 7001, 7050, 7217, 7233, 7260, 7271, 7315, 7351, 7398, 7559, 7573, 7613, 7619, 7683, 7703, 7752, 7921, 7927, 7945, 7958, 7964, 8008, 8099, 8264, 8278, 8303, 8317, 8398]",0.046,0.097
GrandMalSeizures2,[4550],"[1, 7, 14, 32, 38, 49, 66, 101, 167, 193, 217, 235, 348, 371, 391, 404, 434, 452, 482, 502, 513, 527, 538, 554, 570, 639, 664, 691, 733, 748, 760, 799, 807, 822, 842, 907, 924, 939, 947, 995, 1040, 1053, 1063, 1077, 1128, 1144, 1167, 1174, 1211, 1225, 1235, 1266, 1278, 1320, 1383, 1390, 1435, 1443, 1469, 1482, 1497, 1531, 1551, 1574, 1590, 1596, 1623, 1634, 1649, 1719, 1726, 1753, 1774, 1789, 1833, 1868, 1904, 1929, 1935, 1993, 2000, 2015, 2040, 2056, 2108, 2123, 2197, 2259, 2293, 2382, 2389, 2410, 2438, 2532, 2561, 2583, 2629, 2663, 2691, 2697, 2725, 2742, 2748, 2829, 2840, 2847, 2883, 2889, 2906, 3009, 3052, 3074, 3144, 3173, 3213, 3219, 3252, 3265, 3320, 3391, 3442, 3467, 3473, 3562, 3578, 3623, 3633, 3665, 3671, 3817, 3869, 3875, 3901, 3921, 3972, 4022, 4065, 4078, 4128, 4181, 4187, 4200, 4208, 4245, 4260, 4267, 4327, 4392, 4457, 4554, 4561, 4782, 4834, 4888, 4922, 5081, 5087, 5187, 5201, 5281, 5292, 5332, 5345, 5383, 5418, 5424, 5536, 5543, 5564, 5584, 5590, 5622, 5671, 5714, 5752, 5789, 5841, 5886, 5937, 5952, 5967, 6066, 6072, 6098, 6180, 6186, 6258, 6353, 6414, 6426, 6450, 6515, 6530, 6599, 6612, 6632, 6691, 6721, 6759, 6805, 6811, 6918, 6924, 6950, 7035, 7170, 7178, 7203, 7225, 7327, 7365, 7400, 7407, 7413, 7462, 7568, 7611, 7661, 7759, 7765, 7887, 7934, 7960, 7975, 7983, 8059, 8201, 8212, 8227, 8334, 8354, 8369, 8375, 8381, 8479, 8485, 8595, 8683, 8700, 8739, 8753, 8802, 8870, 8876, 8890, 8994, 9052, 9110, 9116, 9198, 9262, 9277, 9337, 9343, 9366, 9482, 9488, 9523, 9555, 9581, 9614, 9701, 9708, 9747, 9753, 9793, 9836, 9911, 9917, 9936, 9971, 9977, 10014, 10218, 10233, 10239, 10260, 10406, 10418]","[0, 6, 13, 31, 37, 48, 65, 100, 166, 192, 216, 234, 347, 370, 390, 403, 433, 451, 481, 501, 512, 526, 537, 553, 569, 638, 663, 690, 732, 747, 759, 798, 806, 821, 841, 906, 923, 938, 946, 994, 1039, 1052, 1062, 1076, 1127, 1143, 1166, 1173, 1210, 1224, 1234, 1265, 1277, 1319, 1382, 1389, 1434, 1442, 1468, 1481, 1496, 1530, 1550, 1573, 1589, 1595, 1622, 1633, 1648, 1718, 1725, 1752, 1773, 1788, 1832, 1867, 1903, 1928, 1934, 1992, 1999, 2014, 2039, 2055, 2107, 2122, 2196, 2258, 2292, 2381, 2388, 2409, 2437, 2531, 2560, 2582, 2628, 2662, 2690, 2696, 2724, 2741, 2747, 2828, 2839, 2846, 2882, 2888, 2905, 3008, 3051, 3073, 3143, 3172, 3212, 3218, 3251, 3264, 3319, 3390, 3441, 3466, 3472, 3561, 3577, 3622, 3632, 3664, 3670, 3816, 3868, 3874, 3900, 3920, 3971, 4021, 4064, 4077, 4127, 4180, 4186, 4199, 4207, 4244, 4259, 4266, 4326, 4391, 4456, 4553, 4560, 4781, 4833, 4887, 4921, 5080, 5086, 5186, 5200, 5280, 5291, 5331, 5344, 5382, 5417, 5423, 5535, 5542, 5563, 5583, 5589, 5621, 5670, 5713, 5751, 5788, 5840, 5885, 5936, 5951, 5966, 6065, 6071, 6097, 6179, 6185, 6257, 6352, 6413, 6425, 6449, 6514, 6529, 6598, 6611, 6631, 6690, 6720, 6758, 6804, 6810, 6917, 6923, 6949, 7034, 7169, 7177, 7202, 7224, 7326, 7364, 7399, 7406, 7412, 7461, 7567, 7610, 7660, 7758, 7764, 7886, 7933, 7959, 7974, 7982, 8058, 8200, 8211, 8226, 8333, 8353, 8368, 8374, 8380, 8478, 8484, 8594, 8682, 8699, 8738, 8752, 8801, 8869, 8875, 8889, 8993, 9051, 9109, 9115, 9197, 9261, 9276, 9336, 9342, 9365, 9481, 9487, 9522, 9554, 9580, 9613, 9700, 9707, 9746, 9752, 9792, 9835, 9910, 9916, 9935, 9970, 9976, 10013, 10217, 10232, 10238, 10259, 10405, 10417]",0.014,0.035
GreatBarbet1,"[1900, 3700]","[1, 7, 88, 110, 126, 192, 250, 396, 494, 500, 540, 593, 599, 664, 729, 860, 889, 895, 984, 1025, 1054, 1148, 1154, 1213, 1219, 1308, 1382, 1430, 1436, 1553, 1626, 1673, 1716, 1722, 1799, 1876, 1882, 1983, 2011, 2042, 2090, 2105, 2121, 2152, 2177, 2304, 2314, 2334, 2364, 2396, 2456, 2470, 2532, 2561, 2622, 2683, 2701, 2707, 2742, 2790, 2796, 2835, 2896, 2926, 2973, 3000, 3006, 3078, 3096, 3138, 3188, 3273, 3279, 3344, 3354, 3373, 3415, 3437, 3465, 3471, 3529, 3538, 3566, 3589, 3653, 3662, 3677, 3704, 3731, 3752, 3771, 3791, 3840, 3905, 3956, 3964, 3983, 4003, 4020, 4034, 4080, 4097, 4128, 4155, 4234, 4251, 4289, 4309, 4340, 4368, 4387, 4405, 4433, 4463, 4503, 4568, 4598, 4619, 4637, 4657, 4674]","[0, 6, 87, 109, 125, 191, 249, 395, 493, 499, 539, 592, 598, 663, 728, 859, 888, 894, 983, 1024, 1053, 1147, 1153, 1212, 1218, 1307, 1381, 1429, 1435, 1552, 1625, 1672, 1715, 1721, 1798, 1875, 1881, 1982, 2010, 2041, 2089, 2104, 2120, 2151, 2176, 2303, 2313, 2333, 2363, 2395, 2455, 2469, 2531, 2560, 2621, 2682, 2700, 2706, 2741, 2789, 2795, 2834, 2895, 2925, 2972, 2999, 3005, 3077, 3095, 3137, 3187, 3272, 3278, 3343, 3353, 3372, 3414, 3436, 3464, 3470, 3528, 3537, 3565, 3588, 3652, 3661, 3676, 3703, 3730, 3751, 3770, 3790, 3839, 3904, 3955, 3963, 3982, 4002, 4019, 4033, 4079, 4096, 4127, 4154, 4233, 4250, 4288, 4308, 4339, 4367, 4386, 4404, 4432, 4462, 4502, 4567, 4597, 4618, 4636, 4656, 4673]",0.048,0.075
Herring,[],"[1, 7, 33, 56, 126, 256, 353, 380, 386, 512, 641, 737, 768, 893, 990, 1024, 1252, 1282, 1404, 1410, 1535, 1791, 1856, 2014, 2048, 2146, 2174, 2406, 2532, 2560, 2687, 2785, 2816, 2887, 3073, 3137, 3329, 3455, 3552, 3583, 3710, 3811, 3968, 4096, 4321, 4352, 4480, 4576, 4607, 4710, 4864, 4930]","[0, 6, 32, 55, 125, 255, 352, 379, 385, 511, 640, 736, 767, 892, 989, 1023, 1251, 1281, 1403, 1409, 1534, 1790, 1855, 2013, 2047, 2145, 2173, 2405, 2531, 2559, 2686, 2784, 2815, 2886, 3072, 3136, 3328, 3454, 3551, 3582, 3709, 3810, 3967, 4095, 4320, 4351, 4479, 4575, 4606, 4709, 4863, 4929]",0.037,0.051
InlineSkate,"[1058, 2704]","[1, 7, 13, 65, 71, 208, 225, 231, 317, 449, 531, 537, 554, 651, 667, 673, 782, 788, 884, 900, 906, 1042, 1058, 1123, 1129, 1239, 1245, 1360, 1366, 1479, 1485, 1600, 1714, 1720, 1832, 1838, 1947, 1953, 2068, 2074, 2230, 2303, 2309, 2430, 2436, 2541, 2547, 2689, 2695, 2773, 2892, 2898, 3042, 3048, 3145, 3239, 3245, 3261, 3361, 3367, 3514, 3520, 3602, 3747, 3753, 3834, 3840, 3950, 3966, 3972, 4071, 4077, 4204, 4210, 4302, 4308, 4417, 4423, 4436, 4442, 4541, 4547, 4662, 4668, 4682, 4774, 4780]","[0, 6, 12, 64, 70, 207, 224, 230, 316, 448, 530, 536, 553, 650, 666, 672, 781, 787, 883, 899, 905, 1041, 1057, 1122, 1128, 1238, 1244, 1359, 1365, 1478, 1484, 1599, 1713, 1719, 1831, 1837, 1946, 1952, 2067, 2073, 2229, 2302, 2308, 2429, 2435, 2540, 2546, 2688, 2694, 2772, 2891, 2897, 3041, 3047, 3144, 3238, 3244, 3260, 3360, 3366, 3513, 3519, 3601, 3746, 3752, 3833, 3839, 3949, 3965, 3971, 4070, 4076, 4203, 4209, 4301, 4307, 4416, 4422, 4435, 4441, 4540, 4546, 4661, 4667, 4681, 4773, 4779]",0.066,0.091
InsectEPG1,[3802],"[1, 8, 146, 175, 209, 241, 281, 300, 342, 349, 368, 406, 435, 457, 465, 472, 495, 503, 510, 561, 583, 599, 606, 671, 679, 725, 783, 791, 811, 817, 848, 859, 871, 908, 937, 968, 1031, 1059, 1120, 1131, 1138, 1161, 1168, 1190, 1200, 1218, 1250, 1268, 1279, 1297, 1305, 1331, 1346, 1357, 1372, 1399, 1406, 1413, 1431, 1483, 1556, 1589, 1607, 1614, 1647, 1654, 1661, 1668, 1675, 1689, 1703, 1709, 1744, 1752, 1766, 1773, 1796, 1808, 1837, 1845, 1852, 1874, 1949, 1976, 1998, 2005, 2051, 2069, 2076, 2093, 2119, 2160, 2167, 2174, 2208, 2215, 2300, 2330, 2342, 2352, 2363, 2379, 2385, 2408, 2421, 2451, 2472, 2510, 2518, 2526, 2533, 2539, 2683, 2705, 2745, 2757, 2764, 2805, 2817, 2878, 2893, 2925, 2940, 2948, 2984, 3000, 3027, 3056, 3119, 3146, 3152, 3174, 3200, 3224, 3271, 3295, 3319, 3325, 3496, 3529, 3542, 3550, 3573, 3580, 3598, 3610, 3621, 3636, 3645, 3652, 3700, 3869, 3908, 3983, 4005, 4033, 4044, 4055, 4061, 4164, 4189, 4255, 4326, 4344, 4362, 4392, 4451, 4496, 4556, 4585, 4600, 4643, 4654, 4671, 4756, 4848, 4862, 4879, 4951, 4997, 5136, 5180, 5201, 5218, 5279, 5366, 5388, 5400, 5413, 5478, 5493, 5544, 5585, 5600, 5705, 5720, 5757, 5813, 5825, 5884, 6031, 6053, 6096, 6115, 6167, 6189, 6223, 6318, 6350, 6370, 6379, 6386, 6417, 6449, 6459, 6475, 6524, 6563, 6631, 6645, 6716, 6773, 6810, 6828, 6854, 6885, 6902, 6918, 6987, 7045, 7077, 7113, 7145, 7201, 7222, 7228, 7265, 7274, 7281, 7314, 7344, 7364, 7399, 7412, 7444, 7501, 7537, 7553, 7628, 7660, 7672, 7689, 7762, 7864, 7881, 7892, 7899, 7913, 7930, 7937, 7980, 8005, 8070, 8082, 8117, 8155, 8164, 8234, 8243, 8260, 8307, 8327, 8351, 8441, 8450, 8474, 8527, 8575, 8617, 8637, 8691, 8719, 8799, 8808, 8861, 8891, 8898, 8937, 8992, 9042, 9072, 9130, 9168, 9204, 9233, 9252, 9292, 9327, 9343, 9369, 9476, 9506, 9580, 9590, 9647, 9653, 9713, 9751, 9782, 9878, 9927, 9960, 10022, 10073, 10137, 10190, 10203, 10218, 10238, 10271, 10290, 10309, 10402, 10454, 10506, 10546, 10552, 10633, 10697, 10749, 10775, 10797, 10820, 10861, 10947, 10975, 11043, 11078, 11111, 11146, 11201, 11258, 11308, 11341, 11360, 11388, 11408, 11421, 11470, 11526, 11556, 11585, 11620, 11686, 11736, 11811, 11849, 11900, 11933, 12059, 12083, 12105, 12114, 12157, 12185, 12212, 12232, 12265, 12298, 12354, 12432, 12482, 12545, 12562, 12595, 12614, 12653, 12678, 12700, 12766, 12805, 12835, 12851, 12921, 12963, 12974, 12985, 13014, 13051, 13153, 13167, 13175, 13191, 13245, 13292, 13309, 13330, 13369, 13386, 13402, 13455, 13502, 13537, 13595, 13608, 13638, 13671, 13729, 13775, 13807, 13823, 13879, 13909, 13935, 13963, 14009, 14026, 14052, 14100, 14163, 14185, 14230, 14251, 14284, 14319, 14352, 14386, 14453, 14503, 14517, 14544, 14596, 14636, 14726, 14760, 14795, 14801, 14820, 14885, 14917, 14923, 14930, 14938, 14995, 15070, 15104, 15120, 15148, 15154, 15168, 15174, 15235, 15303, 15342, 15358, 15377, 15395, 15464, 15473, 15479, 15577, 15656, 15694, 15729, 15765, 15801, 15830, 15905, 15957, 15987, 16083, 16150, 16161, 16222, 16287, 16359, 16425, 16505, 16543, 16572, 16618, 16672, 16760, 16783, 16839, 16872, 16951]","[0, 7, 145, 174, 208, 240, 280, 299, 341, 348, 367, 405, 434, 456, 464, 471, 494, 502, 509, 560, 582, 598, 605, 670, 678, 724, 782, 790, 810, 816, 847, 858, 870, 907, 936, 967, 1030, 1058, 1119, 1130, 1137, 1160, 1167, 1189, 1199, 1217, 1249, 1267, 1278, 1296, 1304, 1330, 1345, 1356, 1371, 1398, 1405, 1412, 1430, 1482, 1555, 1588, 1606, 1613, 1646, 1653, 1660, 1667, 1674, 1688, 1702, 1708, 1743, 1751, 1765, 1772, 1795, 1807, 1836, 1844, 1851, 1873, 1948, 1975, 1997, 2004, 2050, 2068, 2075, 2092, 2118, 2159, 2166, 2173, 2207, 2214, 2299, 2329, 2341, 2351, 2362, 2378, 2384, 2407, 2420, 2450, 2471, 2509, 2517, 2525, 2532, 2538, 2682, 2704, 2744, 2756, 2763, 2804, 2816, 2877, 2892, 2924, 2939, 2947, 2983, 2999, 3026, 3055, 3118, 3145, 3151, 3173, 3199, 3223, 3270, 3294, 3318, 3324, 3495, 3528, 3541, 3549, 3572, 3579, 3597, 3609, 3620, 3635, 3644, 3651, 3699, 3868, 3907, 3982, 4004, 4032, 4043, 4054, 4060, 4163, 4188, 4254, 4325, 4343, 4361, 4391, 4450, 4495, 4555, 4584, 4599, 4642, 4653, 4670, 4755, 4847, 4861, 4878, 4950, 4996, 5135, 5179, 5200, 5217, 5278, 5365, 5387, 5399, 5412, 5477, 5492, 5543, 5584, 5599, 5704, 5719, 5756, 5812, 5824, 5883, 6030, 6052, 6095, 6114, 6166, 6188, 6222, 6317, 6349, 6369, 6378, 6385, 6416, 6448, 6458, 6474, 6523, 6562, 6630, 6644, 6715, 6772, 6809, 6827, 6853, 6884, 6901, 6917, 6986, 7044, 7076, 7112, 7144, 7200, 7221, 7227, 7264, 7273, 7280, 7313, 7343, 7363, 7398, 7411, 7443, 7500, 7536, 7552, 7627, 7659, 7671, 7688, 7761, 7863, 7880, 7891, 7898, 7912, 7929, 7936, 7979, 8004, 8069, 8081, 8116, 8154, 8163, 8233, 8242, 8259, 8306, 8326, 8350, 8440, 8449, 8473, 8526, 8574, 8616, 8636, 8690, 8718, 8798, 8807, 8860, 8890, 8897, 8936, 8991, 9041, 9071, 9129, 9167, 9203, 9232, 9251, 9291, 9326, 9342, 9368, 9475, 9505, 9579, 9589, 9646, 9652, 9712, 9750, 9781, 9877, 9926, 9959, 10021, 10072, 10136, 10189, 10202, 10217, 10237, 10270, 10289, 10308, 10401, 10453, 10505, 10545, 10551, 10632, 10696, 10748, 10774, 10796, 10819, 10860, 10946, 10974, 11042, 11077, 11110, 11145, 11200, 11257, 11307, 11340, 11359, 11387, 11407, 11420, 11469, 11525, 11555, 11584, 11619, 11685, 11735, 11810, 11848, 11899, 11932, 12058, 12082, 12104, 12113, 12156, 12184, 12211, 12231, 12264, 12297, 12353, 12431, 12481, 12544, 12561, 12594, 12613, 12652, 12677, 12699, 12765, 12804, 12834, 12850, 12920, 12962, 12973, 12984, 13013, 13050, 13152, 13166, 13174, 13190, 13244, 13291, 13308, 13329, 13368, 13385, 13401, 13454, 13501, 13536, 13594, 13607, 13637, 13670, 13728, 13774, 13806, 13822, 13878, 13908, 13934, 13962, 14008, 14025, 14051, 14099, 14162, 14184, 14229, 14250, 14283, 14318, 14351, 14385, 14452, 14502, 14516, 14543, 14595, 14635, 14725, 14759, 14794, 14800, 14819, 14884, 14916, 14922, 14929, 14937, 14994, 15069, 15103, 15119, 15147, 15153, 15167, 15173, 15234, 15302, 15341, 15357, 15376, 15394, 15463, 15472, 15478, 15576, 15655, 15693, 15728, 15764, 15800, 15829, 15904, 15956, 15986, 16082, 16149, 16160, 16221, 16286, 16358, 16424, 16504, 16542, 16571, 16617, 16671, 16759, 16782, 16838, 16871, 16950]",0.008,0.019
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[1, 10, 21, 29, 45, 57, 136, 154, 293, 310, 357, 466, 508, 526, 544, 580, 615, 639, 652, 676, 725, 759, 783, 856, 891, 929, 952, 976, 1024, 1108, 1132, 1390, 1426, 1504, 1701, 1809, 1882, 1965, 1972, 1990, 2020, 2032, 2103, 2139, 2156, 2164, 2180, 2212, 2248, 2288, 2367, 2387, 2428, 2451, 2500, 2523, 2543, 2595, 2655, 2674, 2693, 2711, 2752, 2811, 2836, 2847, 2895, 2914, 2920, 2956, 2992, 3010, 3034, 3064, 3108, 3119, 3172, 3208, 3232, 3255, 3304, 3317, 3412, 3495, 3532, 3545, 3592, 3628, 3712, 3748, 3765, 3796, 3832, 3891, 3916, 3939, 3958, 4000, 4035, 4083, 4108, 4150, 4156, 4203, 4216, 4252, 4276, 4353, 4384, 4541, 4569, 4576, 4594, 4612, 4631, 4642, 4648, 4708, 4726, 4743, 4768, 4804, 4846, 4864]","[0, 9, 20, 28, 44, 56, 135, 153, 292, 309, 356, 465, 507, 525, 543, 579, 614, 638, 651, 675, 724, 758, 782, 855, 890, 928, 951, 975, 1023, 1107, 1131, 1389, 1425, 1503, 1700, 1808, 1881, 1964, 1971, 1989, 2019, 2031, 2102, 2138, 2155, 2163, 2179, 2211, 2247, 2287, 2366, 2386, 2427, 2450, 2499, 2522, 2542, 2594, 2654, 2673, 2692, 2710, 2751, 2810, 2835, 2846, 2894, 2913, 2919, 2955, 2991, 3009, 3033, 3063, 3107, 3118, 3171, 3207, 3231, 3254, 3303, 3316, 3411, 3494, 3531, 3544, 3591, 3627, 3711, 3747, 3764, 3795, 3831, 3890, 3915, 3938, 3957, 3999, 4034, 4082, 4107, 4149, 4155, 4202, 4215, 4251, 4275, 4352, 4383, 4540, 4568, 4575, 4593, 4611, 4630, 4641, 4647, 4707, 4725, 4742, 4767, 4803, 4845, 4863]",0.106,0.173
