dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],"[1122, 1458]","[1999, 1999]",0.4,0.717
EEGRat2,[1000],"[252, 1164]","[1999, 1999]",0.4,0.739
FaceFour,"[2800, 5600, 6650]","[531, 2844, 6580]","[8399, 8399, 8399]",0.75,0.741
GrandMalSeizures2,[4550],"[1412, 2203, 3000, 3480, 4137, 4617]","[9999, 9999, 9999, 9999, 9999, 9999]",0.444,0.693
GreatBarbet1,"[1900, 3700]","[1886, 2438, 3692]","[4699, 4699, 4699]",0.857,0.879
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[2162, 3832, 4386, 4901, 7979, 8912, 12018]","[9999, 9999, 9999, 9999, 9999, 13224, 15134]",0.4,0.42
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[581, 1147, 2018, 2374, 2590, 3185, 4031, 4223, 4408, 4528]","[4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.778,0.842
NogunGun,[3000],"[3065, 4400, 5763, 6603]","[7382, 7382, 7382, 7382]",0.571,0.582
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1690, 1959, 4082, 4361, 8111, 10218]","[9999, 9999, 9999, 9999, 9999, 11359]",0.615,0.787
ShapesAll,"[1280, 2560, 3840, 5120]","[352, 1315, 2549, 3810, 5091, 5439]","[6399, 6399, 6399, 6399, 6399, 6399]",0.833,0.869
TiltECG,[25000],"[480, 6864, 12286, 24643, 27998]","[9999, 13814, 17799, 28784, 29489]",0.5,0.609
ToeSegmentation1,[1385],"[277, 548, 1492, 1959]","[2769, 2769, 2769, 2769]",0.286,0.573
ToeSegmentation2,[1543],"[510, 1247, 1538]","[3085, 3085, 3085]",0.667,0.737
Trace,"[1443, 2955]","[1443, 3049]","[5085, 5085]",0.667,0.964
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[590, 1120, 2231]","[2817, 2817, 2817]",0.667,0.779
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[627, 1131, 2216]","[2817, 2817, 2817]",0.889,0.781
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
