dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[446, 836]","[3455, 3455]",0.5,0.758
EEGRat,[1000],"[735, 1089, 1427]","[1999, 1999, 1999]",0.333,0.654
EEGRat2,[1000],"[252, 524, 985, 1228, 1511]","[1999, 1999, 1999, 1999, 1999]",0.5,0.475
FaceFour,"[2800, 5600, 6650]","[531, 1059, 1682, 2876, 3404, 4005, 4708, 5237, 6566, 7157, 7685]","[8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399, 8399]",0.375,0.384
GrandMalSeizures2,[4550],"[1446, 1926, 2406, 2898, 3423, 4137, 4617, 5195, 5744, 6224, 6740, 7232, 7712, 8269, 8754]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999]",0.222,0.3
GreatBarbet1,"[1900, 3700]","[276, 836, 1149, 1425, 1911, 2189, 2466, 2839, 3189, 3690, 3977, 4264]","[4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699, 4699]",0.375,0.319
Herring,[],"[495, 783, 1071, 1421, 2062, 2382, 2751, 3091, 3411, 3811, 4099, 4387]","[4991, 4991, 4991, 4991, 4991, 4991, 4991, 4991, 4991, 4991, 4991, 4991]",0.143,0.128
InlineSkate,"[1058, 2704]","[590, 1163, 1732, 2164, 2596, 3098]","[4820, 4820, 4820, 4820, 4820, 4820]",0.2,0.598
InsectEPG1,[3802],"[696, 1267, 1771, 2275, 2779, 3294, 3835, 4386, 4901, 5405, 5965, 6528, 7052, 7637, 8141, 8912, 9751, 10260, 10861, 11365, 12783, 13608, 14283, 15094, 15620]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 10524, 11374, 11454, 12029, 14199, 14694, 14854, 15824, 16664]",0.143,0.124
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[128, 488, 608, 732, 857, 1051, 1173, 1293, 1451, 1571, 1691, 1843, 2038, 2158, 2278, 2403, 2590, 2760, 2919, 3039, 3185, 4041, 4161, 4281, 4401, 4521, 4641]","[4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.4,0.443
NogunGun,[3000],"[468, 936, 1409, 1877, 3005, 3763, 4384, 5763, 6741]","[7382, 7382, 7382, 7382, 7382, 7382, 7382, 7382, 7382]",0.333,0.339
