dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[1122],[1999],0.5,0.885
EEGRat2,[1000],[1164],[1999],0.5,0.848
FaceFour,"[2800, 5600, 6650]","[531, 2845, 5640, 6566]","[8399, 8399, 8399, 8399]",0.889,0.898
GrandMalSeizures2,[4550],"[1408, 2203, 2914, 3423, 4137, 4617, 5827, 7553]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999]",0.364,0.411
GreatBarbet1,"[1900, 3700]","[1886, 2449, 3692]","[4699, 4699, 4699]",0.857,0.877
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]","[1163, 1948]","[4820, 4820]",0.333,0.686
InsectEPG1,[3802],"[2162, 3832, 4387, 4901, 5477, 6809, 8004, 8776, 9761, 11911, 12783, 13411, 14281]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 11014, 13434, 14244, 15299, 16104]",0.25,0.287
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[572, 1147, 2018, 2590, 3185, 4031]","[4895, 4895, 4895, 4895, 4895, 4895]",1.0,0.987
NogunGun,[3000],"[702, 3065, 4400, 5764, 6603]","[7382, 7382, 7382, 7382, 7382]",0.5,0.489
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1690, 4125, 8155, 10218]","[9999, 9999, 9999, 11069]",0.727,0.812
ShapesAll,"[1280, 2560, 3840, 5120]","[1334, 2549, 3810, 5091]","[6399, 6399, 6399, 6399]",1.0,0.962
TiltECG,[25000],"[6624, 9547, 10954, 12283, 13462, 14771, 15774, 16932, 19144, 19990, 20603, 24868, 25805, 27582, 31510, 33008, 33883, 34520, 36450]","[9999, 12229, 13084, 14154, 14844, 15814, 16974, 18919, 20824, 21589, 22489, 25904, 26909, 28729, 32774, 34189, 34714, 35129, 37959]",0.182,0.264
ToeSegmentation1,[1385],"[1141, 1478]","[2769, 2769]",0.4,0.878
ToeSegmentation2,[1543],[1365],[3085],0.5,0.891
Trace,"[1443, 2955]","[1443, 2867]","[5085, 5085]",0.667,0.966
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[583, 1140, 1651, 2267]","[2817, 2817, 2817, 2817]",0.8,0.932
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[604, 1135, 2216]","[2817, 2817, 2817]",0.889,0.795
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],"[7411, 8427, 9175]","[9999, 9999, 9999]",0.667,0.875
