dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[1122],[1999],0.5,0.885
EEGRat2,[1000],"[252, 1311]","[1999, 1999]",0.4,0.63
FaceFour,"[2800, 5600, 6650]","[530, 2844, 6659]","[8399, 8399, 8399]",0.75,0.746
GrandMalSeizures2,[4550],"[3661, 4141]","[9999, 9999]",0.4,0.878
GreatBarbet1,"[1900, 3700]","[1886, 3692]","[4699, 4699]",1.0,0.991
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],[3832],[9999],1.0,0.996
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[581, 1147, 2018, 2374, 2590, 3185, 4031]","[4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.933,0.943
NogunGun,[3000],"[3065, 4400]","[7382, 7382]",0.8,0.802
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1690, 4081, 8111]","[9999, 9999, 9999]",0.8,0.661
ShapesAll,"[1280, 2560, 3840, 5120]","[1334, 2824, 3810, 5091]","[6399, 6399, 6399, 6399]",0.8,0.891
TiltECG,[25000],[],[],0.667,0.531
ToeSegmentation1,[1385],[287],[2769],0.5,0.477
ToeSegmentation2,[1543],[1365],[3085],0.5,0.891
Trace,"[1443, 2955]",[1413],[5085],0.8,0.643
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[583, 1140]","[2817, 2817]",0.75,0.587
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[627, 1135]","[2817, 2817]",0.75,0.582
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
