dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[1122],[1999],0.5,0.885
EEGRat2,[1000],"[252, 1164]","[1999, 1999]",0.4,0.739
FaceFour,"[2800, 5600, 6650]","[531, 2844, 6580]","[8399, 8399, 8399]",0.75,0.741
GrandMalSeizures2,[4550],"[2124, 3000, 3480, 4137, 4617]","[9999, 9999, 9999, 9999, 9999]",0.5,0.761
GreatBarbet1,"[1900, 3700]","[1886, 2449, 3692]","[4699, 4699, 4699]",0.857,0.877
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[3832, 4878, 6886, 8004]","[9999, 9999, 9999, 9999]",0.571,0.751
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[581, 1147, 2018, 2374, 2590, 3185, 4031]","[4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.933,0.943
NogunGun,[3000],"[3065, 4400]","[7382, 7382]",0.8,0.802
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1690, 1959, 4082, 8111, 10222]","[9999, 9999, 9999, 9999, 11419]",0.667,0.791
ShapesAll,"[1280, 2560, 3840, 5120]","[1334, 2549, 3810, 5091]","[6399, 6399, 6399, 6399]",1.0,0.962
TiltECG,[25000],"[24643, 27998]","[28944, 29644]",0.8,0.916
ToeSegmentation1,[1385],"[287, 551, 1456]","[2769, 2769, 2769]",0.333,0.761
ToeSegmentation2,[1543],[1365],[3085],0.5,0.891
Trace,"[1443, 2955]",[1443],[5085],0.8,0.652
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[583, 1120, 2232]","[2817, 2817, 2817]",0.667,0.774
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[627, 1135, 2216]","[2817, 2817, 2817]",0.889,0.779
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
