dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[376],[3455],0.667,0.891
EEGRat,[1000],"[1059, 1409]","[1999, 1999]",0.4,0.768
EEGRat2,[1000],"[254, 1185]","[1999, 1999]",0.4,0.722
FaceFour,"[2800, 5600, 6650]","[2849, 3430, 6730]","[8399, 8399, 8399]",0.75,0.75
GrandMalSeizures2,[4550],"[1737, 2372, 3252, 3766, 4246, 4824]","[9999, 9999, 9999, 9999, 9999, 9999]",0.222,0.704
GreatBarbet1,"[1900, 3700]","[1883, 2180, 3687]","[4699, 4699, 4699]",0.857,0.931
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[1741, 3837, 4388, 4964, 5665, 6169, 9674, 11247, 13424]","[9999, 9999, 9999, 9999, 9999, 9999, 10944, 13054, 15059]",0.333,0.331
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[577, 1147, 2016, 2374, 2591, 3182, 4031]","[4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.933,0.947
NogunGun,[3000],"[860, 3063, 4400]","[7382, 7382, 7382]",0.667,0.688
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1688, 1959, 4099, 8111, 10218]","[9999, 9999, 9999, 9999, 11424]",0.667,0.793
ShapesAll,"[1280, 2560, 3840, 5120]","[359, 1317, 2561, 3812, 5090]","[6399, 6399, 6399, 6399, 6399]",0.909,0.916
TiltECG,[25000],"[24723, 25650, 26693, 29327, 32204, 32975, 34266, 36426, 37364, 37844, 38375]","[25759, 26669, 27219, 30649, 34029, 34204, 34864, 37474, 38129, 38484, 39024]",0.286,0.69
ToeSegmentation1,[1385],"[279, 556, 1479]","[2769, 2769, 2769]",0.333,0.746
ToeSegmentation2,[1543],[1369],[3085],0.5,0.893
Trace,"[1443, 2955]",[1444],[5085],0.8,0.652
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[584, 1145, 2235]","[2817, 2817, 2817]",0.667,0.773
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[632, 1144, 2210]","[2817, 2817, 2817]",0.667,0.775
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
