dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[373],[3455],0.667,0.892
EEGRat,[1000],[1122],[1999],0.5,0.885
EEGRat2,[1000],"[253, 1164]","[1999, 1999]",0.4,0.739
FaceFour,"[2800, 5600, 6650]","[538, 2846, 3374, 6577]","[8399, 8399, 8399, 8399]",0.667,0.699
GrandMalSeizures2,[4550],"[2932, 3414, 4562]","[9999, 9999, 9999]",0.667,0.844
GreatBarbet1,"[1900, 3700]","[1899, 2182, 3690]","[4699, 4699, 4699]",0.857,0.936
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[1742, 3521, 4069, 4682, 5186, 6118, 9639, 11640, 13406]","[9999, 9999, 9999, 9999, 9999, 9999, 11679, 13699, 15149]",0.167,0.316
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[580, 1147, 2017, 2374, 2590, 3183, 4031]","[4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.933,0.945
NogunGun,[3000],"[981, 3067, 3757, 4367]","[7382, 7382, 7382, 7382]",0.571,0.676
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1688, 1964, 4125, 8111, 10218]","[9999, 9999, 9999, 9999, 11344]",0.667,0.795
ShapesAll,"[1280, 2560, 3840, 5120]","[355, 1314, 2588, 3820, 5090, 5438]","[6399, 6399, 6399, 6399, 6399, 6399]",0.833,0.866
TiltECG,[25000],"[24722, 25620, 26696, 27176, 27872, 29269, 29849, 32200, 32980, 34269, 36362, 37363, 37843, 38368]","[25734, 26189, 27219, 27904, 28524, 30169, 30854, 33819, 33904, 34869, 37419, 38144, 38479, 38974]",0.235,0.677
ToeSegmentation1,[1385],[],[],0.667,0.5
ToeSegmentation2,[1543],[1368],[3085],0.5,0.892
Trace,"[1443, 2955]",[1466],[5085],0.8,0.647
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[583, 1127, 2212]","[2817, 2817, 2817]",0.889,0.788
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[631, 1061, 2191]","[2817, 2817, 2817]",0.444,0.753
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
