dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[],[],0.667,0.5
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[],[],0.4,0.281
GrandMalSeizures2,[4550],"[50, 101, 152, 203, 254, 305, 356, 407, 458, 509, 560, 611, 662, 713, 764, 815, 866, 917, 968, 1019, 1070, 1121, 1172, 1223, 1274, 1325, 1376, 1427, 1478, 1529, 1580, 1631, 1682, 1733, 1784, 1835, 1886, 1937, 1988, 2039, 2090, 2141, 2192, 2243, 2294, 2345, 2396, 2447, 2498, 2549, 2600, 2651, 2702, 2753, 2804, 2855, 2906, 2957, 3008, 3059, 3110, 3161, 3212, 3263, 3314, 3365, 3416, 3467, 3518, 3569, 3620, 3671, 3722, 3773, 3824, 3875, 3926, 3977, 4028, 4079, 4130, 4181, 4232, 4283, 4334, 4385, 4436, 4487, 4538, 4589, 4640, 4691, 4742, 4793, 4844, 4895, 4946, 4997, 5048, 5099, 5150, 5201, 5252, 5303, 5354, 5405, 5456, 5507, 5558, 5609, 5660, 5711, 5762, 5813, 5864, 5915, 5966, 6017, 6068, 6119, 6170, 6221, 6272, 6323, 6374, 6425, 6476, 6527, 6578, 6629, 6680, 6731, 6782, 6833, 6884, 6935, 6986, 7037, 7088, 7139, 7190, 7241, 7292, 7343, 7394, 7445, 7496, 7549, 7600, 7651, 7702, 7753, 7804, 7855, 7906, 7957, 8008, 8059, 8110, 8161, 8212, 8263, 8314, 8365, 8416, 8467, 8518, 8569, 8620, 8671, 8722, 8773, 8824, 8875, 8926, 8977, 9028, 9079, 9130, 9181, 9232, 9283, 9334, 9385, 9436, 9487, 9538, 9589, 9640, 9691, 9742, 9793, 9844, 9895, 9946, 9997, 10048, 10101, 10152, 10203, 10254, 10305, 10356]","[99, 150, 201, 252, 303, 354, 405, 456, 507, 558, 609, 660, 711, 762, 813, 864, 915, 966, 1017, 1068, 1119, 1170, 1221, 1272, 1323, 1374, 1425, 1476, 1527, 1578, 1629, 1680, 1731, 1782, 1833, 1884, 1935, 1986, 2037, 2088, 2139, 2190, 2241, 2292, 2343, 2394, 2445, 2496, 2547, 2598, 2649, 2700, 2751, 2802, 2853, 2904, 2955, 3006, 3057, 3108, 3159, 3210, 3261, 3312, 3363, 3414, 3465, 3516, 3567, 3618, 3669, 3720, 3771, 3822, 3873, 3924, 3975, 4026, 4077, 4128, 4179, 4230, 4281, 4332, 4383, 4434, 4485, 4536, 4587, 4638, 4689, 4740, 4791, 4842, 4893, 4944, 4995, 5046, 5097, 5148, 5199, 5250, 5301, 5352, 5403, 5454, 5505, 5556, 5607, 5658, 5709, 5760, 5811, 5862, 5913, 5964, 6015, 6066, 6117, 6168, 6219, 6270, 6321, 6372, 6423, 6474, 6525, 6576, 6627, 6678, 6729, 6780, 6831, 6882, 6933, 6984, 7035, 7086, 7137, 7188, 7239, 7290, 7341, 7392, 7443, 7494, 7545, 7598, 7649, 7700, 7751, 7802, 7853, 7904, 7955, 8006, 8057, 8108, 8159, 8210, 8261, 8312, 8363, 8414, 8465, 8516, 8567, 8618, 8669, 8720, 8771, 8822, 8873, 8924, 8975, 9026, 9077, 9128, 9179, 9230, 9281, 9332, 9383, 9434, 9485, 9536, 9587, 9638, 9689, 9740, 9791, 9842, 9893, 9944, 9995, 10046, 10097, 10150, 10201, 10252, 10303, 10354, 10405]",0.019,0.012
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[1104],[1153],0.8,0.606
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],"[777, 1528, 2279, 3030, 5635, 6429]","[1526, 2277, 3028, 3779, 6384, 7178]",0.444,0.458
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]",[],[],0.333,0.2
TiltECG,[25000],"[1000, 2001, 3002, 4003, 5004, 6005, 7006, 8007, 9008, 10009, 11010, 12011, 13012, 14013, 15014, 16015, 17016, 18017, 19018, 20019, 21020, 22021, 23022, 24023, 25024, 26025, 27026, 28027, 29028, 30029, 31030, 32031, 33032, 34033, 35034, 36035, 37036, 38037]","[1999, 3000, 4001, 5002, 6003, 7004, 8005, 9006, 10007, 11008, 12009, 13010, 14011, 15012, 16013, 17014, 18015, 19016, 20017, 21018, 22019, 23020, 24021, 25022, 26023, 27024, 28025, 29026, 30027, 31028, 32029, 33030, 34031, 35032, 36033, 37034, 38035, 39036]",0.098,0.074
ToeSegmentation1,[1385],[],[],0.667,0.5
ToeSegmentation2,[1543],[],[],0.667,0.5
Trace,"[1443, 2955]",[],[],0.5,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
