dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 223, 365, 509, 648, 795, 943, 1068, 1223, 1389, 1519, 1653, 1801, 1945, 2101, 2230, 2378, 2520, 2663, 2812, 2960, 3087, 3239]","[199, 322, 464, 608, 747, 894, 1042, 1167, 1322, 1488, 1618, 1752, 1900, 2044, 2200, 2329, 2477, 2619, 2762, 2911, 3059, 3186, 3338]",0.08,0.063
EEGRat,[1000],"[189, 469, 520, 607, 757, 934]","[238, 518, 569, 656, 806, 983]",0.222,0.609
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[],[],0.4,0.281
GrandMalSeizures2,[4550],"[50, 101, 152, 203, 254, 305, 356, 407, 458, 509, 560, 611, 662, 713, 764, 815, 868, 919, 970, 1021, 1072, 1124, 1175, 1228, 1279, 1330, 1382, 1433, 1485, 1536, 1587, 1638, 1689, 1740, 1791, 1842, 1894, 1945, 1996, 2047, 2098, 2149, 2200, 2251, 2302, 2353, 2404, 2456, 2507, 2558, 2611, 2662, 2713, 2764, 2815, 2866, 2917, 2968, 3019, 3070, 3121, 3172, 3223, 3274, 3325, 3376, 3428, 3479, 3530, 3581, 3632, 3683, 3734, 3785, 3836, 3887, 3938, 3989, 4040, 4091, 4142, 4193, 4244, 4295, 4346, 4397, 4448, 4499, 4550, 4601, 4652, 4703, 4754, 4805, 4856, 4907, 4958, 5009, 5060, 5111, 5166, 5217, 5273, 5324, 5375, 5427, 5485, 5539, 5590, 5641, 5696, 5747, 5798, 5849, 5900, 5951, 6002, 6061, 6112, 6163, 6214, 6272, 6325, 6376, 6427, 6481, 6532, 6583, 6635, 6687, 6738, 6789, 6840, 6891, 6942, 6993, 7044, 7095, 7152, 7203, 7254, 7305, 7356, 7410, 7461, 7512, 7563, 7614, 7665, 7716, 7768, 7831, 7882, 7933, 7984, 8035, 8086, 8137, 8189, 8240, 8291, 8342, 8393, 8444, 8495, 8546, 8597, 8650, 8704, 8758, 8809, 8860, 8911, 8962, 9014, 9065, 9116, 9169, 9223, 9274, 9325, 9377, 9430, 9481, 9547, 9598, 9651, 9704, 9755, 9806, 9857, 9908, 9959, 10010, 10061, 10114, 10165, 10216, 10267, 10318, 10369]","[99, 150, 201, 252, 303, 354, 405, 456, 507, 558, 609, 660, 711, 762, 813, 864, 917, 968, 1019, 1070, 1121, 1173, 1224, 1277, 1328, 1379, 1431, 1482, 1534, 1585, 1636, 1687, 1738, 1789, 1840, 1891, 1943, 1994, 2045, 2096, 2147, 2198, 2249, 2300, 2351, 2402, 2453, 2505, 2556, 2607, 2660, 2711, 2762, 2813, 2864, 2915, 2966, 3017, 3068, 3119, 3170, 3221, 3272, 3323, 3374, 3425, 3477, 3528, 3579, 3630, 3681, 3732, 3783, 3834, 3885, 3936, 3987, 4038, 4089, 4140, 4191, 4242, 4293, 4344, 4395, 4446, 4497, 4548, 4599, 4650, 4701, 4752, 4803, 4854, 4905, 4956, 5007, 5058, 5109, 5160, 5215, 5266, 5322, 5373, 5424, 5476, 5534, 5588, 5639, 5690, 5745, 5796, 5847, 5898, 5949, 6000, 6051, 6110, 6161, 6212, 6263, 6321, 6374, 6425, 6476, 6530, 6581, 6632, 6684, 6736, 6787, 6838, 6889, 6940, 6991, 7042, 7093, 7144, 7201, 7252, 7303, 7354, 7405, 7459, 7510, 7561, 7612, 7663, 7714, 7765, 7817, 7880, 7931, 7982, 8033, 8084, 8135, 8186, 8238, 8289, 8340, 8391, 8442, 8493, 8544, 8595, 8646, 8699, 8753, 8807, 8858, 8909, 8960, 9011, 9063, 9114, 9165, 9218, 9272, 9323, 9374, 9426, 9479, 9530, 9596, 9647, 9700, 9753, 9804, 9855, 9906, 9957, 10008, 10059, 10110, 10163, 10214, 10265, 10316, 10367, 10418]",0.02,0.011
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],[2227],[2276],0.667,0.554
InlineSkate,"[1058, 2704]","[50, 213, 264, 381, 433, 533, 589, 648, 704, 762, 820, 881, 932, 1105, 1156, 1221, 1278, 1329, 1380, 1447, 1588, 1639, 1690, 1741, 1817, 1877, 1960, 2030, 2092, 2283, 2334, 2396, 2454, 2525, 2581, 2677, 2728, 2879, 3028, 3079, 3130, 3184, 3242, 3293, 3344, 3404, 3572, 3623, 3823, 3949, 4045, 4096, 4179, 4230, 4281, 4342, 4419, 4472, 4527, 4671, 4763]","[99, 262, 313, 430, 482, 582, 638, 697, 753, 811, 869, 930, 981, 1154, 1205, 1270, 1327, 1378, 1429, 1496, 1637, 1688, 1739, 1790, 1866, 1926, 2009, 2079, 2141, 2332, 2383, 2445, 2503, 2574, 2630, 2726, 2777, 2928, 3077, 3128, 3179, 3233, 3291, 3342, 3393, 3453, 3621, 3672, 3872, 3998, 4094, 4145, 4228, 4279, 4330, 4391, 4468, 4521, 4576, 4720, 4812]",0.092,0.115
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],"[750, 1501, 2252, 3003, 3754, 4505, 5256, 6007]","[1499, 2250, 3001, 3752, 4503, 5254, 6005, 6756]",0.364,0.288
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[2632, 4179, 4263, 4314, 4503, 4563, 4696, 4747, 4804, 5087, 5146, 5232, 5287, 5360, 5421, 5483, 5546, 5610, 5670, 5742, 5800, 5867, 5928, 6000, 6058, 6125, 6186, 6252, 6312]","[2681, 4228, 4312, 4363, 4552, 4612, 4745, 4796, 4853, 5136, 5195, 5281, 5336, 5409, 5470, 5532, 5595, 5659, 5719, 5791, 5849, 5916, 5977, 6049, 6107, 6174, 6235, 6301, 6361]",0.114,0.402
