dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 203, 304, 405, 506, 638, 739, 840, 941, 1062, 1163, 1264, 1365, 1466, 1567, 1668, 1785, 1886, 1987, 2088, 2189, 2290, 2391, 2504, 2605, 2706, 2807, 2939, 3040, 3141, 3242]","[199, 302, 403, 504, 605, 737, 838, 939, 1040, 1161, 1262, 1363, 1464, 1565, 1666, 1767, 1884, 1985, 2086, 2187, 2288, 2389, 2490, 2603, 2704, 2805, 2906, 3038, 3139, 3240, 3341]",0.061,0.062
EEGRat,[1000],"[85, 162, 218, 271, 465, 516, 569, 620, 734, 879, 930, 1000]","[134, 211, 267, 320, 514, 565, 618, 669, 783, 928, 979, 1049]",0.267,0.597
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[],[],0.4,0.281
GrandMalSeizures2,[4550],"[4568, 4619, 4901, 4952, 5411, 5905, 6191, 6342, 6504, 6555, 6606, 6657, 7016, 7067, 7214, 7276, 7338, 7466, 7572, 7629, 8084, 8357, 8408, 8459, 8510, 8564, 8876, 8927, 8978, 9350, 9735, 9956, 10007, 10218, 10269, 10377]","[4617, 4668, 4950, 5001, 5460, 5954, 6240, 6391, 6553, 6604, 6655, 6706, 7065, 7116, 7263, 7325, 7387, 7515, 7621, 7678, 8133, 8406, 8457, 8508, 8559, 8613, 8925, 8976, 9027, 9399, 9784, 10005, 10056, 10267, 10318, 10426]",0.103,0.482
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],"[178, 557, 967, 1203, 1349, 1581, 1837, 2221, 2309, 2862, 2988, 3249, 4146, 4402, 4658]","[227, 606, 1016, 1252, 1398, 1630, 1886, 2270, 2358, 2911, 3037, 3298, 4195, 4451, 4707]",0.118,0.18
InlineSkate,"[1058, 2704]","[50, 101, 155, 207, 258, 309, 375, 426, 530, 582, 643, 698, 757, 813, 877, 928, 979, 1057, 1108, 1159, 1210, 1273, 1324, 1375, 1435, 1507, 1583, 1634, 1685, 1736, 1806, 1870, 1921, 1972, 2023, 2084, 2139, 2233, 2284, 2335, 2388, 2449, 2518, 2577, 2652, 2703, 2754, 2805, 2874, 2931, 2982, 3033, 3084, 3135, 3186, 3239, 3290, 3341, 3392, 3526, 3577, 3628, 3679, 3737, 3813, 3871, 3945, 3996, 4047, 4098, 4149, 4200, 4251, 4302, 4353, 4416, 4467, 4518, 4578, 4666, 4717, 4768]","[99, 150, 204, 256, 307, 358, 424, 475, 579, 631, 692, 747, 806, 862, 926, 977, 1028, 1106, 1157, 1208, 1259, 1322, 1373, 1424, 1484, 1556, 1632, 1683, 1734, 1785, 1855, 1919, 1970, 2021, 2072, 2133, 2188, 2282, 2333, 2384, 2437, 2498, 2567, 2626, 2701, 2752, 2803, 2854, 2923, 2980, 3031, 3082, 3133, 3184, 3235, 3288, 3339, 3390, 3441, 3575, 3626, 3677, 3728, 3786, 3862, 3920, 3994, 4045, 4096, 4147, 4198, 4249, 4300, 4351, 4402, 4465, 4516, 4567, 4627, 4715, 4766, 4817]",0.07,0.069
InsectEPG1,[3802],[4843],[5092],0.5,0.891
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[135, 266, 393, 480, 606, 733, 1030, 1163, 1445, 2282, 2335, 2389, 2458, 2537, 2625, 2676, 2799, 2892, 3141, 3192, 3266, 3317, 3386, 3438, 3696, 3778, 3922, 4028, 4079, 4130, 4181, 4232, 4283, 4437, 4496, 4557, 4616, 4690, 4741, 4801, 4945, 5000, 5078, 5141, 5223, 5283, 5355, 5414, 5480, 5538, 5606, 5665, 5737, 5795, 5862, 5923, 5995, 6053, 6121, 6181, 6246, 6307]","[184, 315, 442, 529, 655, 782, 1079, 1212, 1494, 2331, 2384, 2438, 2507, 2586, 2674, 2725, 2848, 2941, 3190, 3241, 3315, 3366, 3435, 3487, 3745, 3827, 3971, 4077, 4128, 4179, 4230, 4281, 4332, 4486, 4545, 4606, 4665, 4739, 4790, 4850, 4994, 5049, 5127, 5190, 5272, 5332, 5404, 5463, 5529, 5587, 5655, 5714, 5786, 5844, 5911, 5972, 6044, 6102, 6170, 6230, 6295, 6356]",0.118,0.256
TiltECG,[25000],"[24476, 26494, 33030, 34031]","[25475, 27493, 34029, 35030]",0.286,0.775
ToeSegmentation1,[1385],"[1510, 1900]","[1559, 1949]",0.4,0.773
ToeSegmentation2,[1543],"[106, 491, 1002, 1053, 1104, 1155, 1526, 1577, 1746, 2347, 2416, 2542, 2598, 2726, 2885]","[155, 540, 1051, 1102, 1153, 1204, 1575, 1626, 1795, 2396, 2465, 2591, 2647, 2775, 2934]",0.222,0.36
Trace,"[1443, 2955]",[],[],0.5,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[7544],[7593],0.5,0.969
