dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 222, 359, 512, 644, 794, 933, 1069, 1212, 1390, 1519, 1653, 1792, 1944, 2091, 2233, 2373, 2523, 2660, 2809, 2946, 3087, 3227]","[199, 321, 458, 611, 743, 893, 1032, 1168, 1311, 1489, 1618, 1752, 1891, 2043, 2190, 2332, 2472, 2622, 2759, 2908, 3045, 3186, 3326]",0.08,0.066
EEGRat,[1000],"[455, 510, 575, 757, 935]","[504, 559, 624, 806, 984]",0.25,0.697
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]","[3193, 3894, 6552]","[3442, 4143, 6801]",0.25,0.684
GrandMalSeizures2,[4550],"[4567, 4810, 6597, 7071, 8409, 8460, 8511, 10021]","[4616, 4859, 6646, 7120, 8458, 8509, 8560, 10070]",0.364,0.606
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],[2229],[2278],0.667,0.553
InlineSkate,"[1058, 2704]","[50, 101, 163, 214, 284, 335, 386, 437, 520, 571, 623, 685, 739, 804, 856, 920, 975, 1058, 1109, 1160, 1211, 1275, 1326, 1377, 1432, 1505, 1557, 1618, 1669, 1726, 1777, 1828, 1879, 1930, 1981, 2032, 2084, 2143, 2199, 2250, 2301, 2352, 2403, 2454, 2505, 2579, 2642, 2711, 2762, 2813, 2864, 2915, 2966, 3017, 3068, 3119, 3170, 3221, 3275, 3326, 3377, 3428, 3479, 3530, 3581, 3632, 3683, 3734, 3811, 3862, 3913, 3992, 4043, 4094, 4147, 4198, 4249, 4300, 4351, 4402, 4455, 4506, 4557, 4611, 4662, 4713, 4764]","[99, 150, 212, 263, 333, 384, 435, 486, 569, 620, 672, 734, 788, 853, 905, 969, 1024, 1107, 1158, 1209, 1260, 1324, 1375, 1426, 1481, 1554, 1606, 1667, 1718, 1775, 1826, 1877, 1928, 1979, 2030, 2081, 2133, 2192, 2248, 2299, 2350, 2401, 2452, 2503, 2554, 2628, 2691, 2760, 2811, 2862, 2913, 2964, 3015, 3066, 3117, 3168, 3219, 3270, 3324, 3375, 3426, 3477, 3528, 3579, 3630, 3681, 3732, 3783, 3860, 3911, 3962, 4041, 4092, 4143, 4196, 4247, 4298, 4349, 4400, 4451, 4504, 4555, 4606, 4660, 4711, 4762, 4813]",0.066,0.049
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[1337, 1388, 1464, 1517, 1588, 1639, 1709, 1761, 1846, 1897, 2101, 2152, 2227, 2279, 2337, 2388, 2463, 2542, 2609, 2663, 2818, 2869, 2948, 3000, 3090, 3141, 3192, 3249, 3309, 3379, 3454, 3509, 3706, 3761, 3925, 4148, 4199, 4268, 4457, 4508, 4565, 4695, 4746, 4807, 5089, 5146, 5236, 5288, 5362, 5418, 5485, 5542, 5611, 5669, 5744, 5800, 5867, 5925, 6001, 6057, 6126, 6181, 6254, 6310]","[1386, 1437, 1513, 1566, 1637, 1688, 1758, 1810, 1895, 1946, 2150, 2201, 2276, 2328, 2386, 2437, 2512, 2591, 2658, 2712, 2867, 2918, 2997, 3049, 3139, 3190, 3241, 3298, 3358, 3428, 3503, 3558, 3755, 3810, 3974, 4197, 4248, 4317, 4506, 4557, 4614, 4744, 4795, 4856, 5138, 5195, 5285, 5337, 5411, 5467, 5534, 5591, 5660, 5718, 5793, 5849, 5916, 5974, 6050, 6106, 6175, 6230, 6303, 6359]",0.114,0.312
TiltECG,[25000],[],[],0.667,0.531
ToeSegmentation1,[1385],[],[],0.667,0.5
ToeSegmentation2,[1543],"[1528, 2047, 2098, 2541, 2592, 2886, 2938]","[1577, 2096, 2147, 2590, 2641, 2935, 2987]",0.4,0.657
Trace,"[1443, 2955]",[],[],0.5,0.344
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
