dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],"[100, 203, 304, 405, 506, 640, 741, 842, 943, 1060, 1161, 1262, 1363, 1464, 1565, 1666, 1788, 1889, 1990, 2091, 2220, 2321, 2422, 2523, 2653, 2754, 2855, 2956, 3080, 3181, 3282]","[199, 302, 403, 504, 605, 739, 840, 941, 1042, 1159, 1260, 1361, 1462, 1563, 1664, 1765, 1887, 1988, 2089, 2190, 2319, 2420, 2521, 2622, 2752, 2853, 2954, 3055, 3179, 3280, 3381]",0.061,0.05
EEGRat,[1000],"[85, 162, 218, 271, 455, 506, 569, 656, 731, 927]","[134, 211, 267, 320, 504, 555, 618, 705, 780, 976]",0.154,0.564
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]",[3904],[4153],0.333,0.45
GrandMalSeizures2,[4550],"[4565, 4616, 4667, 4812, 4901, 4952, 5411, 5905, 6193, 6292, 6343, 6512, 6595, 6646, 6701, 7020, 7071, 7215, 7270, 7336, 7573, 7633, 7748, 8042, 8093, 8358, 8409, 8460, 8511, 8564, 8876, 8927, 8978, 9124, 9301, 9352, 9734, 9956, 10007, 10223, 10377]","[4614, 4665, 4716, 4861, 4950, 5001, 5460, 5954, 6242, 6341, 6392, 6561, 6644, 6695, 6750, 7069, 7120, 7264, 7319, 7385, 7622, 7682, 7797, 8091, 8142, 8407, 8458, 8509, 8560, 8613, 8925, 8976, 9027, 9173, 9350, 9401, 9783, 10005, 10056, 10272, 10426]",0.091,0.482
GreatBarbet1,"[1900, 3700]",[],[],0.5,0.355
Herring,[],"[178, 556, 967, 1349, 1580, 1837, 2221, 2861, 2988, 4399]","[227, 605, 1016, 1398, 1629, 1886, 2270, 2910, 3037, 4448]",0.167,0.283
InlineSkate,"[1058, 2704]","[50, 101, 153, 212, 263, 314, 376, 427, 529, 580, 645, 696, 761, 812, 879, 930, 981, 1032, 1103, 1154, 1219, 1275, 1326, 1377, 1435, 1511, 1583, 1634, 1685, 1736, 1814, 1870, 1955, 2022, 2088, 2140, 2199, 2281, 2332, 2386, 2449, 2521, 2577, 2669, 2720, 2771, 2822, 2874, 2930, 3023, 3074, 3125, 3176, 3237, 3288, 3341, 3397, 3523, 3574, 3625, 3676, 3821, 3878, 3946, 3997, 4048, 4099, 4150, 4201, 4273, 4332, 4415, 4466, 4524, 4584, 4672, 4761]","[99, 150, 202, 261, 312, 363, 425, 476, 578, 629, 694, 745, 810, 861, 928, 979, 1030, 1081, 1152, 1203, 1268, 1324, 1375, 1426, 1484, 1560, 1632, 1683, 1734, 1785, 1863, 1919, 2004, 2071, 2137, 2189, 2248, 2330, 2381, 2435, 2498, 2570, 2626, 2718, 2769, 2820, 2871, 2923, 2979, 3072, 3123, 3174, 3225, 3286, 3337, 3390, 3446, 3572, 3623, 3674, 3725, 3870, 3927, 3995, 4046, 4097, 4148, 4199, 4250, 4322, 4381, 4464, 4515, 4573, 4633, 4721, 4810]",0.074,0.07
InsectEPG1,[3802],[4869],[5118],0.5,0.888
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]",[],[],0.25,0.149
NogunGun,[3000],[],[],0.667,0.518
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]",[],[],0.286,0.169
ShapesAll,"[1280, 2560, 3840, 5120]","[135, 224, 352, 479, 606, 733, 1031, 1160, 1449, 1758, 1988, 2245, 2296, 2347, 2413, 2464, 2537, 2630, 3313, 3924, 4025, 4076, 4127, 4178, 4249, 4306, 4437, 4499, 4559, 4690, 4741, 4801, 4944, 4997, 5077, 5136, 5187, 5238, 5289, 5355, 5413, 5480, 5538, 5606, 5666, 5738, 5794, 5862, 5924, 5995, 6054, 6120, 6183, 6246, 6307]","[184, 273, 401, 528, 655, 782, 1080, 1209, 1498, 1807, 2037, 2294, 2345, 2396, 2462, 2513, 2586, 2679, 3362, 3973, 4074, 4125, 4176, 4227, 4298, 4355, 4486, 4548, 4608, 4739, 4790, 4850, 4993, 5046, 5126, 5185, 5236, 5287, 5338, 5404, 5462, 5529, 5587, 5655, 5715, 5787, 5843, 5911, 5973, 6044, 6103, 6169, 6232, 6295, 6356]",0.098,0.238
TiltECG,[25000],"[24260, 26470, 32868, 33990]","[25259, 27469, 33867, 34989]",0.286,0.766
ToeSegmentation1,[1385],"[157, 208, 669, 890, 1463, 1514, 1645, 1900, 1985]","[206, 257, 718, 939, 1512, 1563, 1694, 1949, 2034]",0.167,0.453
ToeSegmentation2,[1543],"[101, 152, 268, 319, 439, 490, 551, 619, 953, 1004, 1055, 1106, 1157, 1263, 1526, 1580, 1745, 2101, 2351, 2546, 2603, 2724, 2887]","[150, 201, 317, 368, 488, 539, 600, 668, 1002, 1053, 1104, 1155, 1206, 1312, 1575, 1629, 1794, 2150, 2400, 2595, 2652, 2773, 2936]",0.154,0.224
Trace,"[1443, 2955]","[3527, 4696]","[3776, 4945]",0.333,0.473
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]",[],[],0.333,0.201
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
