dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[],[],0.667,0.5
EEGRat2,[1000],"[126, 252, 1299]","[1999, 1999, 1999]",0.333,0.638
FaceFour,"[2800, 5600, 6650]","[530, 2840, 3350, 6582]","[8399, 8399, 8399, 8399]",0.667,0.702
GrandMalSeizures2,[4550],"[1766, 2345, 2910, 3464, 4067, 4624]","[9999, 9999, 9999, 9999, 9999, 9999]",0.444,0.726
GreatBarbet1,"[1900, 3700]","[1886, 2538, 3692]","[4699, 4699, 4699]",0.857,0.858
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[545, 844, 980, 1517, 1644, 1748, 2130, 2409, 2557, 3174, 3287, 3370, 3636, 3804, 4036, 4925]","[9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999]",0.211,0.747
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[581, 1148, 2025, 2360, 2608, 3192, 4030]","[4895, 4895, 4895, 4895, 4895, 4895, 4895]",0.933,0.932
NogunGun,[3000],"[3075, 4403, 5481]","[7382, 7382, 7382]",0.333,0.654
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1687, 1969, 4095, 4385, 8108, 10220]","[9999, 9999, 9999, 9999, 9999, 11424]",0.615,0.787
ShapesAll,"[1280, 2560, 3840, 5120]","[1332, 2554, 3809, 5089]","[6399, 6399, 6399, 6399]",1.0,0.963
TiltECG,[25000],"[7089, 24613, 27681]","[10879, 28554, 29604]",0.667,0.746
ToeSegmentation1,[1385],[],[],0.667,0.5
ToeSegmentation2,[1543],"[1527, 1885, 2101]","[3085, 3085, 3085]",0.667,0.814
Trace,"[1443, 2955]",[1414],[5085],0.8,0.644
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[592, 1139, 2218]","[2817, 2817, 2817]",0.889,0.789
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[613, 1131, 2204]","[2817, 2817, 2817]",0.889,0.797
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
