dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],[1016],[1429],1.0,0.984
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]","[2819, 6635]","[3944, 7744]",0.857,0.813
GrandMalSeizures2,[4550],[],[],0.667,0.508
GreatBarbet1,"[1900, 3700]","[1886, 2440, 3687]","[2214, 3064, 4019]",0.857,0.877
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],"[662, 1003, 1310, 3790, 5026, 7589, 10401]","[1144, 1359, 1739, 4259, 7379, 9164, 15799]",0.4,0.534
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[584, 1149, 2014, 2600, 3191, 4041]","[714, 1254, 2179, 2689, 3359, 4229]",1.0,0.979
NogunGun,[3000],"[3075, 4403, 5480]","[4054, 5389, 6839]",0.333,0.654
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1705, 4106, 8108, 10335]","[2179, 4634, 8949, 11754]",0.909,0.831
ShapesAll,"[1280, 2560, 3840, 5120]","[1281, 2503, 3837, 5134]","[1944, 3289, 4404, 5814]",1.0,0.977
TiltECG,[25000],"[7088, 24650, 27670]","[10894, 28564, 29614]",0.667,0.747
ToeSegmentation1,[1385],"[270, 413, 634]","[419, 499, 814]",0.333,0.46
ToeSegmentation2,[1543],[],[],0.667,0.5
Trace,"[1443, 2955]",[1443],[1954],0.8,0.652
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[591, 1152, 2217]","[819, 1394, 2589]",0.889,0.784
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[626, 1131, 2199]","[854, 1444, 2609]",0.889,0.79
WordSynonyms,"[202, 2227]",[208],[329],0.8,0.866
Yoga,[7295],[],[],0.667,0.504
